agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/hkrul_surtha_ek			
general	wh_dlc08_nor_norsca	hkrul_surtha_ek	false
general	wh2_main_nor_aghol	hkrul_surtha_ek	false
general	wh2_main_nor_skeggi	hkrul_surtha_ek	false
general	wh3_dlc20_nor_dolgan	hkrul_surtha_ek	false
general	wh3_dlc20_nor_kuj	hkrul_surtha_ek	false
general	wh3_dlc20_nor_kul	hkrul_surtha_ek	false
general	wh3_dlc20_nor_tong	hkrul_surtha_ek	false
general	wh3_dlc20_nor_yusak	hkrul_surtha_ek	false
general	wh3_dlc21_nor_wyrmkins	hkrul_surtha_ek	false
general	wh_dlc08_nor_naglfarlings	hkrul_surtha_ek	false
general	wh_dlc08_nor_vanaheimlings	hkrul_surtha_ek	false
general	wh_dlc08_nor_wintertooth	hkrul_surtha_ek	false
general	wh_main_nor_aesling	hkrul_surtha_ek	false
general	wh_main_nor_baersonling	hkrul_surtha_ek	false
general	wh_main_nor_bjornling	hkrul_surtha_ek	false
general	wh_main_nor_graeling	hkrul_surtha_ek	false
general	wh_main_nor_sarl	hkrul_surtha_ek	false
general	wh_main_nor_skaeling	hkrul_surtha_ek	false
general	wh_main_nor_varg	hkrul_surtha_ek	false
