agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_beorg			
champion	wh_main_nor_aesling	hkrul_oerl	false
champion	wh_dlc08_nor_norsca	hkrul_oerl	false
champion	wh_dlc08_nor_wintertooth	hkrul_oerl	false
champion	wh_main_nor_skaeling	hkrul_oerl	false
champion	wh_main_nor_varg	hkrul_oerl	false
champion	wh_main_nor_sarl	hkrul_oerl	false
champion	wh_main_nor_graeling	hkrul_oerl	false
champion	wh_main_nor_bjornling	hkrul_oerl	false
champion	wh_main_nor_baersonling	hkrul_oerl	false
champion	wh2_main_nor_skeggi	hkrul_oerl	false
champion	wh2_main_nor_mung	hkrul_oerl	false
champion	wh2_main_nor_aghol	hkrul_oerl	false
champion	wh3_dlc20_nor_yusak	hkrul_oerl	false
champion	wh3_dlc20_nor_kuj	hkrul_oerl	false
champion	wh3_dlc20_nor_kul	hkrul_oerl	false
champion	wh3_dlc20_nor_tong	hkrul_oerl	false
