agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/hkrul_late_frost			
champion	wh_main_nor_aesling	hkrul_mortensen	false
champion	wh_dlc08_nor_norsca	hkrul_mortensen	false
champion	wh_dlc08_nor_wintertooth	hkrul_mortensen	false
champion	wh_main_nor_skaeling	hkrul_mortensen	false
champion	wh_main_nor_varg	hkrul_mortensen	false
champion	wh_main_nor_sarl	hkrul_mortensen	false
champion	wh_main_nor_graeling	hkrul_mortensen	false
champion	wh_main_nor_bjornling	hkrul_mortensen	false
champion	wh_main_nor_baersonling	hkrul_mortensen	false
champion	wh2_main_nor_skeggi	hkrul_mortensen	false
champion	wh2_main_nor_mung	hkrul_mortensen	false
champion	wh2_main_nor_aghol	hkrul_mortensen	false
champion	wh3_dlc20_nor_yusak	hkrul_mortensen	false
champion	wh3_dlc20_nor_kuj	hkrul_mortensen	false
champion	wh3_dlc20_nor_kul	hkrul_mortensen	false
champion	wh3_dlc20_nor_tong	hkrul_mortensen	false
general	wh_main_nor_aesling	hkrul_geimdall	false
general	wh_dlc08_nor_norsca	hkrul_geimdall	false
general	wh_dlc08_nor_wintertooth	hkrul_geimdall	false
general	wh_main_nor_skaeling	hkrul_geimdall	false
general	wh_main_nor_varg	hkrul_geimdall	false
general	wh_main_nor_sarl	hkrul_geimdall	false
general	wh_main_nor_graeling	hkrul_geimdall	false
general	wh_main_nor_bjornling	hkrul_geimdall	false
general	wh_main_nor_baersonling	hkrul_geimdall	false
general	wh2_main_nor_skeggi	hkrul_geimdall	false
general	wh2_main_nor_mung	hkrul_geimdall	false
general	wh2_main_nor_aghol	hkrul_geimdall	false
general	wh3_dlc20_nor_yusak	hkrul_geimdall	false
general	wh3_dlc20_nor_kuj	hkrul_geimdall	false
general	wh3_dlc20_nor_kul	hkrul_geimdall	false
general	wh3_dlc20_nor_tong	hkrul_geimdall	false
general	wh_main_nor_aesling	hkrul_yngve	false
general	wh_dlc08_nor_norsca	hkrul_yngve	false
general	wh_dlc08_nor_wintertooth	hkrul_yngve	false
general	wh_main_nor_skaeling	hkrul_yngve	false
general	wh_main_nor_varg	hkrul_yngve	false
general	wh_main_nor_sarl	hkrul_yngve	false
general	wh_main_nor_graeling	hkrul_yngve	false
general	wh_main_nor_bjornling	hkrul_yngve	false
general	wh_main_nor_baersonling	hkrul_yngve	false
general	wh2_main_nor_skeggi	hkrul_yngve	false
general	wh2_main_nor_mung	hkrul_yngve	false
general	wh2_main_nor_aghol	hkrul_yngve	false
general	wh3_dlc20_nor_yusak	hkrul_yngve	false
general	wh3_dlc20_nor_kuj	hkrul_yngve	false
general	wh3_dlc20_nor_kul	hkrul_yngve	false
general	wh3_dlc20_nor_tong	hkrul_yngve	false
