agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/hkrul_verdandi			
champion	wh_main_nor_aesling	hkrul_verdandi	false
champion	wh_dlc08_nor_norsca	hkrul_verdandi	false
champion	wh_dlc08_nor_wintertooth	hkrul_verdandi	false
champion	wh_main_nor_skaeling	hkrul_verdandi	false
champion	wh_main_nor_varg	hkrul_verdandi	false
champion	wh_main_nor_sarl	hkrul_verdandi	false
champion	wh_main_nor_graeling	hkrul_verdandi	false
champion	wh_main_nor_bjornling	hkrul_verdandi	false
champion	wh_main_nor_baersonling	hkrul_verdandi	false
champion	wh2_main_nor_skeggi	hkrul_verdandi	false
champion	wh2_main_nor_mung	hkrul_verdandi	false
champion	wh2_main_nor_aghol	hkrul_verdandi	false
champion	wh3_dlc20_nor_yusak	hkrul_verdandi	false
champion	wh3_dlc20_nor_kuj	hkrul_verdandi	false
champion	wh3_dlc20_nor_kul	hkrul_verdandi	false
champion	wh3_dlc20_nor_dolgan	hkrul_verdandi	false
champion	wh3_dlc20_nor_tong	hkrul_verdandi	false
