agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/scm_totn_mixer_factions			
champion	mixer_nor_bloodfjord	wh3_main_ie_nor_killgore_slaymaim	false
champion	mixer_nor_bloodfjord	wh_dlc08_nor_skin_wolf_werekin	false
dignitary	mixer_nor_bloodfjord	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	mixer_nor_bloodfjord	wh_dlc08_nor_fimir_balefiend_shadow	false
general	mixer_nor_bloodfjord	wh3_main_ie_nor_burplesmirk_spewpit	false
general	mixer_nor_bloodfjord	wh_dlc08_nor_arzik	false
general	mixer_nor_bloodfjord	wh_dlc08_nor_wulfrik	false
wizard	mixer_nor_bloodfjord	wh_dlc08_nor_kihar	false
wizard	mixer_nor_bloodfjord	wh_dlc08_nor_shaman_sorcerer_death	false
wizard	mixer_nor_bloodfjord	wh_dlc08_nor_shaman_sorcerer_fire	false
wizard	mixer_nor_bloodfjord	wh_dlc08_nor_shaman_sorcerer_metal	false
minister	mixer_nor_bloodfjord	wh_main_nor_marauder_chieftain	false
colonel	mixer_nor_bloodfjord	wh_main_nor_marauder_chieftain	false
general	mixer_nor_bloodfjord	wh_dlc08_nor_throgg	false
general	mixer_nor_bloodfjord	wh_main_nor_marauder_chieftain	false
champion	mixer_nor_eyristaad	wh_dlc08_nor_skin_wolf_werekin	false
wizard	mixer_nor_eyristaad	wh_dlc08_nor_shaman_sorcerer_death	false
wizard	mixer_nor_eyristaad	wh_dlc08_nor_shaman_sorcerer_fire	false
wizard	mixer_nor_eyristaad	wh_dlc08_nor_shaman_sorcerer_metal	false
minister	mixer_nor_eyristaad	wh_main_nor_marauder_chieftain	false
colonel	mixer_nor_eyristaad	wh_main_nor_marauder_chieftain	false
general	mixer_nor_eyristaad	wh_dlc08_nor_throgg	false
general	mixer_nor_eyristaad	wh_main_nor_marauder_chieftain	false
champion	mixer_nor_snaegr	wh3_main_ie_nor_killgore_slaymaim	false
champion	mixer_nor_snaegr	wh_dlc08_nor_skin_wolf_werekin	false
dignitary	mixer_nor_snaegr	wh_dlc08_nor_fimir_balefiend_fire	false
