agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/hkrul_lokjar			
champion	wh_main_nor_aesling	hkrul_lokjar	false
champion	wh_dlc08_nor_norsca	hkrul_lokjar	false
champion	wh_dlc08_nor_wintertooth	hkrul_lokjar	false
champion	wh_main_nor_skaeling	hkrul_lokjar	false
champion	wh_main_nor_varg	hkrul_lokjar	false
champion	wh_main_nor_sarl	hkrul_lokjar	false
champion	wh_main_nor_graeling	hkrul_lokjar	false
champion	wh_main_nor_bjornling	hkrul_lokjar	false
champion	wh_main_nor_baersonling	hkrul_lokjar	false
champion	wh2_main_nor_skeggi	hkrul_lokjar	false
champion	wh2_main_nor_mung	hkrul_lokjar	false
champion	wh2_main_nor_aghol	hkrul_lokjar	false
champion	wh3_dlc20_nor_yusak	hkrul_lokjar	false
champion	wh3_dlc20_nor_kuj	hkrul_lokjar	false
champion	wh3_dlc20_nor_kul	hkrul_lokjar	false
champion	wh3_dlc20_nor_dolgan	hkrul_lokjar	false
champion	wh3_dlc20_nor_tong	hkrul_lokjar	false
