agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_fc_norsca			
champion	mixer_nor_fjordlings	wh3_main_ie_nor_killgore_slaymaim	false
champion	mixer_nor_fjordlings	wh_dlc08_nor_skin_wolf_werekin	false
dignitary	mixer_nor_fjordlings	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	mixer_nor_fjordlings	wh_dlc08_nor_fimir_balefiend_shadow	false
general	mixer_nor_fjordlings	wh3_main_ie_nor_burplesmirk_spewpit	false
general	mixer_nor_fjordlings	wh_dlc08_nor_arzik	false
general	mixer_nor_fjordlings	wh_dlc08_nor_wulfrik	false
wizard	mixer_nor_fjordlings	wh_dlc08_nor_kihar	false
wizard	mixer_nor_fjordlings	wh_dlc08_nor_shaman_sorcerer_death	false
wizard	mixer_nor_fjordlings	wh_dlc08_nor_shaman_sorcerer_fire	false
wizard	mixer_nor_fjordlings	wh_dlc08_nor_shaman_sorcerer_metal	false
minister	mixer_nor_fjordlings	wh_main_nor_marauder_chieftain	false
colonel	mixer_nor_fjordlings	wh_main_nor_marauder_chieftain	false
general	mixer_nor_fjordlings	wh_dlc08_nor_throgg	false
general	mixer_nor_fjordlings	wh_main_nor_marauder_chieftain	false
general	wh_main_nor_baersonling	rhox_baersonling_daemon_prince_tzeentch	false
general	wh_main_nor_baersonling	rhox_baersonling_chs_lord_mtze	false
champion	wh3_dlc20_nor_yusak	wh3_dlc27_sla_styrkaar_the_sortsvinaer	false
