agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/hkrul_sarg		
general	wh_dlc08_nor_norsca	hkrul_sarg
general	wh2_main_nor_aghol	hkrul_sarg
general	wh2_main_nor_skeggi	hkrul_sarg
general	wh3_dlc20_nor_dolgan	hkrul_sarg
general	wh3_dlc20_nor_kuj	hkrul_sarg
general	wh3_dlc20_nor_kul	hkrul_sarg
general	wh3_dlc20_nor_tong	hkrul_sarg
general	wh3_dlc20_nor_yusak	hkrul_sarg
general	wh3_dlc21_nor_wyrmkins	hkrul_sarg
general	wh_dlc08_nor_naglfarlings	hkrul_sarg
general	wh_dlc08_nor_vanaheimlings	hkrul_sarg
general	wh_dlc08_nor_wintertooth	hkrul_sarg
general	wh_main_nor_aesling	hkrul_sarg
general	wh_main_nor_baersonling	hkrul_sarg
general	wh_main_nor_bjornling	hkrul_sarg
general	wh_main_nor_graeling	hkrul_sarg
general	wh_main_nor_sarl	hkrul_sarg
general	wh_main_nor_skaeling	hkrul_sarg
general	wh_main_nor_varg	hkrul_sarg
