key	generate	ui_image	prioritised	event_category	override_icon	is_large_incident	additional_sound_event	sepia_fade	use_revealing_text
#incidents_tables;7;db/incidents_tables/rhox_baersonling									
rhox_baersonling_chain_0	false	einar_journey_0	false	Event		true		0.0000	false
rhox_baersonling_chain_1	false	einar_journey_1	false	Event		true		0.0000	false
rhox_baersonling_chain_2	false	einar_journey_3	false	Event		true		0.0000	false
rhox_baersonling_chain_3	false	einar_journey_2	false	Event		true		0.0000	false
rhox_baersonling_chain_4	false	einar_journey_4	false	Event		true		0.0000	false
rhox_baersonling_chain_5	false	einar_journey_5	false	Event		true		0.0000	false
rhox_baersonling_chain_6	false	einar_journey_6	false	Event		true		0.0000	false
rhox_baersonling_chain_7	false	einar_journey_8	false	Event		true		0.0000	false
rhox_baersonling_chain_8	false	einar_journey_8	false	Event		true		0.0000	false
