agent_subtype	ancillary	rank	instant	is_quest_battle
#character_ancillary_quest_ui_details_tables;2;db/character_ancillary_quest_ui_details_tables/scm_norsca				
hkrul_adella	hkrul_adella_sword	8	false	true
hkrul_lokjar	hkrul_lokjar_gorger	5	true	false
hkrul_lokjar	hkrul_lokjar_amulet	10	true	false
hkrul_akkorak	hkrul_akkorak_spear	11	true	false
hkrul_birna	hkrul_birna_sword	7	true	false
hkrul_birna	hkrul_birna_bow	11	true	false
hkrul_drenok	hkrul_drenok_axe	7	true	false
hkrul_einar	hkrul_einar_sword	8	true	false
hkrul_hakka	hkrul_hakka_axe	8	true	false
hkrul_harald	hkrul_harald_sword	10	true	false
hkrul_sayl	hkrul_sayl_staff	10	true	false
hkrul_ulfric	hkrul_ulfric_axe	7	true	false
hkrul_ulfric	hkrul_ulfric_crown	14	false	true
hkrul_sayl	hkrul_sayl_teeth	14	true	false
hkrul_sarg	hkrul_sarg_sword	13	true	false
hkrul_uzul	hkrul_uzul_drum	10	true	false
hkrul_surtha_ek	hkrul_surtha_ek_speed_up	13	true	false
scm_norsca_huern	scm_norsca_huern_thralls_lament	8	true	false
scm_norsca_huern	scm_norsca_huern_chieftains_horn	14	true	false
scm_norsca_huern	scm_norsca_huern_anci_armor_pelt	10	true	false
scm_norsca_uldsdau	hkrul_uldsdau_eldur	10	true	false
scm_norsca_asta	wolftribe_scm_norsca_asta_ardenwood_bow	10	true	false
scm_norsca_alfkael	wolftribe_hidolfr_nithi	18	true	false
hkrul_graill	scm_norsca_graill_valdyr	10	true	false
