agent_subtype	ancillary	rank	instant	is_quest_battle
#character_ancillary_quest_ui_details_tables;2;db/character_ancillary_quest_ui_details_tables/hkrul_late_summer				
hkrul_goftur	hkrul_goftur_sword	9	true	false
hkrul_goftur	hkrul_goftur_token	14	true	false
hkrul_grydal	hkrul_grydal_axe	8	true	false
hkrul_grydal	hkrul_grydal_banner	14	true	false
hkrul_urf	hkrul_grydal_axe	8	true	false
hkrul_urf	hkrul_grydal_banner	14	true	false
hkrul_goftur	hkrul_norsca_ship_9	18	true	false
hkrul_yngve	hkrul_yngve_eye	15	true	false
hkrul_harald	hkrul_norsca_ship_12	18	true	false
hkrul_haraldur	hkrul_haraldur_sword	9	true	false
hkrul_haraldur	hkrul_haraldur_shield	13	true	false
hkrul_haraldur	hkrul_haraldur_tankard	17	true	false
