variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/hkrul_bjornling							
hkrul_bjornling_marauder_champion_0		bjornling_marauder_champion		1.0000	1.0000	0.0500	
hkrul_bjornling_marauder_champion_1		bjornling_marauder_champion_great_mace		1.0000	1.0000	0.0500	
hkrul_bjornling_marauder_throwing_axe		bjornling_marauder_throwing_axe		1.0000	1.0000	0.0500	
hkrul_bjornling_marauder_javelin		bjornling_marauder_javelins		1.0000	1.0000	0.0500	
hkrul_bjornling_marauder_spear		bjornling_marauder_spear		1.0000	1.0000	0.0500	
hkrul_bjornling_marauder		bjornling_marauder		1.0000	1.0000	0.0500	
hkrul_bjornling_marauder_1		bjornling_marauder_great_weapons		1.0000	1.0000	0.0500	
hkrul_bjornling_ogg		prt_ogg		1.0000	1.1600	0.0000	
rhox_bjornling_maneater		airborne_bjornling_maneater	hu13/ogr/ogr_maneater/ogr_maneater_01_imposter	1.0000	1.0500	0.0500	
rhox_bjornling_maneater_ironfist		airborne_bjornling_maneater_ironfist	hu13/ogr/ogr_maneater/ogr_maneater_01_imposter	1.0000	1.0500	0.0500	
rhox_bjornling_maneater_great_weapon		airborne_bjornling_maneater_great_weapon	hu13/ogr/ogr_maneater/ogr_maneater_01_imposter	1.0000	1.0500	0.0500	
