variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/scm_norsca							
hkrul_sarl_hunters		sarl_hunter		1.0000	1.0000	0.0500	
hkrul_sarl_hunters_ror		sarl_hunter_ror		1.0000	1.0000	0.0500	
hkrul_nightmav		hkrul_nightmav		1.0000	1.1100	0.0000	
calm_fc_norsca_raven		calm_fc_norsca_raven		1.0000	1.1500	0.0500	
hkrul_drenok_wolf		hkrul_drenok_wolf		1.0000	2.1000	0.0000	
wh_mod_skg_stegadon_adella_howdah_rider		skg_stegadon_howdah_rider		1.0000	0.9500	0.0500	
rhox_einar_mnt_war_bear	VariantMeshes/wh_variantmodels/br1/ksl/ksl_bear/tech	rhox_einar_mnt_war_bear	br1/ksl/ksl_bear/ksl_bear_imposter	1.0000	1.0000	0.0000	
rhox_drenok_mnt_war_bear	VariantMeshes/wh_variantmodels/br1/ksl/ksl_bear/tech	rhox_drenok_mnt_war_bear	br1/ksl/ksl_bear/ksl_bear_imposter	1.0000	1.0000	0.0000	
rhox_graeling_werekin_of_fijgard		gra_skin_wolf_ror		1.0000	1.2800	0.0500	
wolftribe_nor_inf_wolfguard_honorguard		nor_wolfguard_honorguard		1.0000	1.0000	0.0500	
wolftribe_nor_inf_wolf_champions_ror_0		nor_wolfguard_champions		1.0000	1.1600	0.0500	
rhox_bjornling_huscarl		r1kko_huscarl		1.0000	1.0000	0.0500	
rhox_bjornling_huscarl_ror		r1kko_huscarl_ror		1.0000	1.0000	0.0500	
hkrul_norsca_ymir		r1kko_bjornling_ymir	hu8d/ogr/ogr_gorger/ogr_gorger_01_imposter	1.0000	1.2000	0.0500	
