variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/hkrul_adella							
rhox_adella_cam_mnt_adella_horse_campaign	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	skg_adella_horse		1.0000	1.0000	0.0500	
rhox_adella_mnt_adella_horse		skg_adella_horse		1.0000	1.0000	0.0500	
hkrul_skeggi_marauder_berserker		skg_marauder_dual_axes		1.0000	1.0000	0.0500	
hkrul_skeggi_marauder_champion_0		skg_marauder_champion		1.0000	1.0000	0.0500	
hkrul_skeggi_marauder_champion_1		skg_marauder_champion_great_weapons		1.0000	1.0000	0.0500	
hkrul_skeggi_marauder_throwing_axe		skg_marauder_throwing_axe		1.0000	1.0000	0.0500	
hkrul_skeggi_marauder_javelin		skg_marauder_javelins		1.0000	1.0000	0.0500	
hkrul_skeggi_marauder_spear		skg_marauder_spear		1.0000	1.0000	0.0500	
hkrul_skeggi_giant		skg_giant		1.0000	1.0000	0.0500	
hkrul_skeggi_giant_ror		skg_giant_ror		1.0000	1.1000	0.0500	
hkrul_skeggi_marauder		skg_marauder		1.0000	1.0000	0.0500	
hkrul_skeggi_marauder_1		skg_marauder_great_weapons		1.0000	1.0000	0.0500	
r1kko_adella_kho_bastiladon	VariantMeshes/wh_variantmodels/hq1/lzd/lzd_bastiladon/tech	r1kko_adella_kho_bastiladon		1.0000	1.1200	0.0000	
r1kko_adella_nur_bastiladon	VariantMeshes/wh_variantmodels/hq1/lzd/lzd_bastiladon/tech	r1kko_adella_nur_bastiladon		1.0000	1.1500	0.0000	
r1kko_adella_sla_bastiladon	VariantMeshes/wh_variantmodels/hq1/lzd/lzd_bastiladon/tech	r1kko_adella_sla_bastiladon		1.0000	1.0500	0.0000	
r1kko_adella_tze_bastiladon	VariantMeshes/wh_variantmodels/hq1/lzd/lzd_bastiladon/tech	r1kko_adella_tze_bastiladon		1.0000	1.1000	0.0000	
r1kko_adella_kho_carnosaur		r1kko_adella_kho_carnosaur		1.0000	1.3300	0.0000	
r1kko_adella_nur_stegadon	VariantMeshes\wh_variantmodels\hq1\lzd\lzd_stegadon\tech	r1kko_adella_nur_stegadon		1.0000	1.5500	0.0000	
r1kko_adella_sla_troglodon		r1kko_adella_sla_troglodon		1.0000	1.3000	0.0000	
r1kko_adella_tze_coatl		r1kko_adella_tze_coatl		1.0000	1.0000	0.0000	
kysaro_adella_stegadon	VariantMeshes\wh_variantmodels\hq1\lzd\lzd_stegadon\tech	kysaro_adella_stegadon		1.6000	1.0000	0.0000	
wh_mod_nor_cold_one_def	VariantMeshes\wh_variantmodels\rp3\def\def_cold_one\tech	def_cold_one	rp3\def\def_cold_one\imposter\def_cold_one_imposter	1.1500	1.0000	0.0500	
wh_mod_nor_cold_one_lzd	VariantMeshes\wh_variantmodels\rp3\def\def_cold_one\tech	lzd_cold_one	rp3\lzd\lzd_cold_one\imposter\lzd_cold_one_imposter	1.1500	1.0000	0.0500	
wh_mod_nor_marauder_cold_one_riders		skg_marauder	hu1c\chs\chs_marauders\low_poly\chs_marauder_lowlod	1.0000	0.9310	0.0500	
wh_mod_nor_marauder_cold_one_spear_riders		nor_marauders_coldone_spear	hu1c\chs\chs_marauders\low_poly\chs_marauder_lowlod	1.0000	0.9310	0.0500	
