agent_subtype	effect_bundle
#faction_starting_general_effects_tables;0;db/faction_starting_general_effects_tables/rhox_fc_norsca	
hkrul_adella	hkrul_adella_faction_trait
hkrul_sayl	hkrul_sayl_faction_trait
hkrul_birna	hkrul_birna_faction_trait
hkrul_akkorak	hkrul_akkorak_faction_trait
hkrul_harald	hkrul_harald_faction_trait
hkrul_einar	hkrul_einar_faction_trait
hkrul_drenok	hkrul_drenok_faction_trait
hkrul_ulfric	hkrul_ulfric_faction_trait
hkrul_hakka	hkrul_hakka_faction_trait
hkrul_sarg	hkrul_sarg_faction_trait
hkrul_surtha_ek	hkrul_ek_faction_trait
scm_norsca_huern	wh_mod_lord_trait_nor_naglfarings
