agent_subtype	effect_bundle
#faction_starting_general_effects_tables;0;db/faction_starting_general_effects_tables/rhox_fc_adella	
hkrul_adella	hkrul_adella_faction_trait
hkrul_sayl	hkrul_sayl_faction_trait
hkrul_birna	hkrul_birna_faction_trait
hkrul_akkorak	hkrul_akkorak_faction_trait
hkrul_harald	hkrul_harald_faction_trait
hkrul_einar	hkrul_einar_faction_trait
hkrul_drenok	hkrul_drenok_faction_trait
hkrul_ulfric	hkrul_ulfric_faction_trait
hkrul_hakka	hkrul_hakka_faction_trait
hkrul_hrothgar	hkrul_hrothgar_faction_trait
