attribute	phase	attribute_type
#special_ability_phase_attribute_effects_tables;1;db/special_ability_phase_attribute_effects_tables/hkrul_scm_norsca_anc		
revealed	hkrul_norsca_enchanted_1	positive
silenced	hkrul_norsca_enchanted_2	positive
rampage	hkrul_norsca_sword_4	positive
wallbreaker	hkrul_norsca_axe_2	positive
unbreakable	hkrul_norsca_axe_3	positive
unbreakable	hkrul_norsca_helmet_3	positive
unbreakable	hkrul_eyri_axe	positive
executor	hkrul_grydal_breath	positive
silenced	hkrul_grydal_hand	negative
causes_fear	hkrul_haraldur_rally_enemy	negative
causes_fear	hkrul_haraldur_rally	positive
immune_to_psychology	hkrul_haraldur_rally_enemy	negative
unyielding_assault	hkrul_tuula_mark	positive
