key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost	recruitment_button_active_icon_path	recruitment_button_background_icon_path
#agent_subtypes_tables;2;db/agent_subtypes_tables/hkrul_late_frost																							
hkrul_mortensen	false	false	ui/campaign ui/agents/wh_main_chs_champion.png	hkrul_mortensen	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	false	-1	false	true	false	true				false	true	cannot_be_loaded_in_campaign		false	true	1100		
hkrul_geimdall	false	false		hkrul_geimdall	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	true	-1	false	true	false	false	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	1100		
hkrul_ziege	false	false		hkrul_ziege	wh_dlc04_vo_actor_Empire_Arch_Lector	false	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1350		
hkrul_boartusk_boss	false	false		hkrul_boartusk_boss	wh_dlc08_vo_actor_Norsca_Skin_Wolf_Werekin	false	-1	false	true	false	false				false	false	cannot_be_loaded_in_campaign		false	true	3740		
hkrul_bubos_boss	false	false		hkrul_bubos_boss	wh_main_vo_actor_default	false	-1	false	true	false	false				false	false	cannot_be_loaded_in_campaign		false	true	3740		
hkrul_skoroth_boss	false	true		hkrul_skoroth_boss	wh3_dlc20_vo_actor_Nurgle_Sorcerer_Lord_of_Nurgle	false	-1	false	true	false	false				false	false	cannot_be_saved_loaded		false	true	2700		
hkrul_grydal	false	false		hkrul_grydal	wh3_mod_vo_actor_Khorne_Hakka	false	-1	false	true	false	true				false	true	cannot_be_loaded_in_campaign		false	true	1100		
hkrul_goftur	false	false		hkrul_goftur	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	false	-1	false	true	false	true				false	true	cannot_be_loaded_in_campaign		false	true	1100		
hkrul_mermedus	false	false		hkrul_mermedus	wh3_dlc20_vo_actor_DaemonPrince_Generic_Undivided	false	-1	false	true	false	true				false	true	cannot_be_loaded_in_campaign		false	true	1100		
hkrul_urf	false	true		hkrul_urf	wh3_dlc20_vo_actor_DaemonPrince_Generic_Undivided	true	-1	false	true	false	false	legendary_lords	wh_main_lore_fire		false	true	cannot_be_saved_loaded	wh3_main_vo_culture_DaemonPrince	false	true	2700		
