key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost	recruitment_button_active_icon_path	recruitment_button_background_icon_path	audio_force_contextual_vo
#agent_subtypes_tables;3;db/agent_subtypes_tables/scm_norsca																								
hkrul_soren	false	true	ui/campaign ui/agents/wh_main_lore_death.png	hkrul_soren	vo_actor_Empire_dlc03_AmberWizard	true	-1	false	true	false	false		hkrul_soren_lore		false	true	cannot_be_loaded_in_campaign		false	true	900			false
hkrul_verdandi	false	false	ui/campaign ui/agents/wh_main_chs_champion.png	hkrul_verdandi	wh2_mod_vo_actor_VampireCoast_Verdandi	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1100			false
hkrul_swyrd	false	false	ui/campaign ui/agents/wh_main_chs_champion.png	hkrul_swyrd	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1100			false
hkrul_lokjar	false	false	ui/campaign ui/agents/wh_main_chs_champion.png	hkrul_lokjar	wh_mod_vo_actor_Chaos_Lokjar	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1100			false
hkrul_bjornling_ogg	false	false		hkrul_bjornling_ogg	wh3_main_vo_actor_Ogres_Tyrant	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign	wh3_main_vo_culture_Ogres	false	true	1350			false
hkrul_kolsveinn	false	false	ui/campaign ui/agents/wh_main_chs_champion.png	hkrul_kolsveinn	wh3_mod_vo_actor_Khorne_Kolsveinn	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1100			false
hkrul_kolsveinn_cb	false	false		hkrul_kolsveinn	wh3_mod_vo_actor_Khorne_Kolsveinn	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1100			false
hkrul_oda	false	false	ui/campaign ui/agents/wh_main_chs_champion.png	hkrul_oda	wh2_main_vo_actor_Dark_Elves_Death_Hag	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1100			false
hkrul_rafn	false	false	ui/campaign ui/agents/wh_main_chs_champion.png	hkrul_rafn	wh_mod_vo_actor_Chaos_Rafn	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1100			false
rhox_baersonling_daemon_prince_tzeentch	false	true	ui/campaign ui/agents/wh3_main_lore_tzeentch.png	wh3_dlc20_chs_cha_daemon_prince_mtze	wh3_main_vo_actor_DaemonPrince_Generic_Tzeentch	true	-1	false	true	false	true	chs_daemon_princes	wh3_main_lore_tzeentch	names_chs_chaos	true	true	cannot_be_saved_loaded	wh3_main_vo_culture_DaemonPrince	false	true	2700			false
rhox_baersonling_chs_lord_mtze	false	false	ui/campaign ui/agents/wh_main_chs_champion.png	wh3_dlc24_chs_cha_chaos_lord_mtze	wh3_dlc24_vo_actor_Tzeentch_Lord_of_Tzeentch	true	-1	false	true	false	true	chs_lord		names_chs_chaos	true	true	can_be_saved_loaded		false	true	900			false
hkrul_hrothgar	false	false		hkrul_hrothgar	wh_mod_vo_actor_Khorne_Hrothgar	true	-1	false	true	false	false	legendary_lords			false	true	cannot_be_loaded_in_campaign	wh3_main_vo_culture_Khorne	false	true	1100			false
hkrul_uzul	false	false		hkrul_uzul	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1100			false
nor_skin_wolf_lord	true	false		nor_skin_wolf_lord	wh_dlc08_vo_actor_Norsca_Skin_Wolf_Werekin	true	-1	false	true	false	true	nor_skin_wolf_lord		names_nor_norsca	true	true	can_be_saved_loaded		false	true	1200			false
scm_norsca_ulsdau	false	false		scm_norsca_ulsdau	wh_dlc08_vo_actor_Norsca_Skin_Wolf_Werekin	true	-1	false	true	false	false				false	true	cannot_be_saved_loaded		false	true	900			false
scm_norsca_asta	false	false		scm_norsca_asta	wh2_dlc16_vo_actor_Wood_Elves_GladeCaptain	true	-1	true	true	false	false				false	true	cannot_be_saved_loaded		false	true	900			false
scm_norsca_alfkael	false	true		scm_norsca_alfkael	wh_dlc08_vo_actor_Norsca_Shaman_Sorcerer	true	-1	false	true	false	false				false	true	cannot_be_saved_loaded		false	true	900			false
hkrul_graill	false	false		hkrul_graill	wh_dlc08_vo_actor_Norsca_Skin_Wolf_Werekin	true	-1	false	true	false	false				false	true	cannot_be_loaded_in_campaign		false	true	1100			false
hkrul_hildr	false	false		hkrul_hildr	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	true	-1	false	true	false	false				true	true	cannot_be_loaded_in_campaign		false	true	1100			false
hkrul_skald_horn	true	false	ui/campaign ui/agents/scm_fc_norsca_skald_horn.png	hkrul_skald_horn	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	true	-1	false	true	false	true				true	true	can_be_saved_loaded		false	true	1100			false
hkrul_skald_drum	true	false	ui/campaign ui/agents/scm_fc_norsca_skald_drum.png	hkrul_skald_drum	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	true	-1	false	true	false	true				true	true	can_be_saved_loaded		false	true	1100			false
scm_norsca_asta_QB	false	false		scm_norsca_asta	wh2_dlc16_vo_actor_Wood_Elves_GladeCaptain	true	-1	true	true	false	false				false	true	cannot_be_saved_loaded		false	true	900			false
hkrul_shieldmaiden	true	false	ui/campaign ui/agents/wh_main_chs_champion.png	hkrul_shieldmaiden	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	true	-1	true	true	false	true			names_nor_norsca	true	true	can_be_saved_loaded		false	true	1100			false
