key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/scm_norsca	
adella	humanoid01b
soren	humanoid01c
birna	humanoid01
sayl	humanoid01
nightmav	humanoid08e
hu1_phy_verdandi_01	humanoid01
swyrd	humanoid01c
drenok_axe	humanoid01c
calm_ksl_raven	calm_raven
hakka	humanoid01c
oda	humanoid01
oda_horse_archer	humanoid01
oda_horse_javelin	humanoid01
oda_manticore_javelin	humanoid01
einarr	humanoid01c
einarrbear	humanoid01c
hu1c_akkorak	humanoid01c
adella_horse	humanoid01b
adella_chariot	humanoid01b
adella_stegadon	humanoid01b
sargath	humanoid01c
uzkulek	humanoid01c
surtha_ek_whip_foot	humanoid01c
surtha_ek_chariot_driver	humanoid01c
skin_wolf_dual	humanoid08
scm_norsca_huern_wolf	humanoid08
scm_norsca_ulsdau	humanoid10_s09
scm_norsca_asta_wolf	humanoid01d
giant_icewolf	wolf01_s2
scm_norsca_asta_spear_and_bow	humanoid01d
hu10_phy_ulsdau	humanoid10
hu1c_cold_one_sword_shield_01	humanoid01c
hu1cshieldwall	humanoid01c
