ancillary_key	set_key
#ancillary_set_ancillary_junctions_tables;0;db/ancillary_set_ancillary_junctions_tables/scm_norsca	
hkrul_birna_bow	hkrul_birna_set
hkrul_ulfric_axe	hkrul_ulfric_set
hkrul_sayl_staff	hkrul_sayl_set
hkrul_birna_sword	hkrul_birna_set
hkrul_ulfric_crown	hkrul_ulfric_set
hkrul_sayl_teeth	hkrul_sayl_set
hkrul_norsca_axe_1	hkrul_norsca_set_1
hkrul_norsca_helmet_1	hkrul_norsca_set_1
hkrul_norsca_sword_1	hkrul_norsca_set_2
hkrul_norsca_shield_1	hkrul_norsca_set_2
hkrul_norsca_axe_3	hkrul_norsca_set_3
hkrul_norsca_helmet_2	hkrul_norsca_set_3
hkrul_norsca_sword_2	hkrul_norsca_set_4
hkrul_norsca_shield_2	hkrul_norsca_set_4
hkrul_norsca_sword_4	hkrul_norsca_set_5
hkrul_norsca_enchanted_2	hkrul_norsca_set_5
hkrul_norsca_ship_5	hkrul_ulfric_set
