ancillary_key	set_key
#ancillary_set_ancillary_junctions_tables;0;db/ancillary_set_ancillary_junctions_tables/hkrul_scm_norsca_anc	
hkrul_norsca_axe_1	hkrul_norsca_set_1
hkrul_norsca_helmet_1	hkrul_norsca_set_1
hkrul_norsca_sword_1	hkrul_norsca_set_2
hkrul_norsca_shield_1	hkrul_norsca_set_2
hkrul_norsca_axe_3	hkrul_norsca_set_3
hkrul_norsca_helmet_2	hkrul_norsca_set_3
hkrul_norsca_sword_2	hkrul_norsca_set_4
hkrul_norsca_shield_2	hkrul_norsca_set_4
hkrul_norsca_sword_4	hkrul_norsca_set_5
hkrul_norsca_enchanted_2	hkrul_norsca_set_5
