from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/rhox_adella	
rhox_adella_dae_temple_kho_1	rhox_adella_dae_temple_kho_2
rhox_adella_dae_temple_kho_2	rhox_adella_dae_temple_kho_3
rhox_adella_dae_temple_kho_3	rhox_adella_dae_temple_kho_4
rhox_adella_dae_temple_kho_4	rhox_adella_dae_temple_kho_5
rhox_adella_dae_temple_nur_1	rhox_adella_dae_temple_nur_2
rhox_adella_dae_temple_nur_2	rhox_adella_dae_temple_nur_3
rhox_adella_dae_temple_nur_3	rhox_adella_dae_temple_nur_4
rhox_adella_dae_temple_nur_4	rhox_adella_dae_temple_nur_5
rhox_adella_dae_temple_sla_1	rhox_adella_dae_temple_sla_2
rhox_adella_dae_temple_sla_2	rhox_adella_dae_temple_sla_3
rhox_adella_dae_temple_sla_3	rhox_adella_dae_temple_sla_4
rhox_adella_dae_temple_sla_4	rhox_adella_dae_temple_sla_5
rhox_adella_dae_temple_tze_1	rhox_adella_dae_temple_tze_2
rhox_adella_dae_temple_tze_2	rhox_adella_dae_temple_tze_3
rhox_adella_dae_temple_tze_3	rhox_adella_dae_temple_tze_4
rhox_adella_dae_temple_tze_4	rhox_adella_dae_temple_tze_5
