chain	chain_set	slot_template	super_chain	remove
#slot_template_permitted_building_chains_tables;0;db/slot_template_permitted_building_chains_tables/scm_norsca				
rhox_fc_norsca_hafskael_yard		mixer_ime_norsca_minor_secondary_iron_pack_ice_bay		false
rhox_fc_norsca_harald_throne		mixer_ime_norsca_minor_secondary_graeling_moot		false
rhox_fc_norsca_kai_delta_swamp		wh3_dlc24_special_castle_alexandronov_minor_secondary		false
rhox_fc_norsca_valmir_aesling		mixer_ime_norsca_minor_secondary_altar_of_spawns		false
rhox_fc_norsca_great_gathering		wh3_dlc23_special_the_volary_secondary_combi		false
rhox_fc_norsca_ruins_of_vinnskor		mixer_ime_minor_secondary_iron_temple_of_heimkel		false
rhox_fc_norsca_sargath_tent		cr_minor_secondary_yusak_camp		false
rhox_fc_norsca_chaos_iceberg		mixer_ime_norsca_minor_secondary_isle_of_wights		false
rhox_fc_norsca_corrupted_khemri		wh2_main_special_khemri_secondary		false
hkrul_norsca_duel_circle		mixer_ime_norsca_minor_secondary_serpent_jetty		false
hkrul_norsca_duel_circle		cr_minor_secondary_horvenghaast		false
hkrul_norsca_snaegr_hall		cr_minor_secondary_hall_of_snaegr		false
hkrul_norsca_snaegr_hall		wh3_dlc20_special_the_forbidden_citadel_secondary_iron		false
hkrul_norsca_mermedus_temple		cr_minor_secondary_temple_of_mermedus		false
hkrul_norsca_mermedus_temple		mixer_ime_norsca_minor_secondary_longship_graveyard		false
hkrul_norsca_erik_tomb		cr_minor_secondary_losteriksons_landing		false
hkrul_norsca_barrows		cr_minor_secondary_bragnir		false
rhox_beorg_halls_of_urslo		mixer_ime_norsca_minor_secondary_frozen_landing		false
