ability	default_amount	max_amount	intensity_source	intensity_type	intensity_decay_delay	intensity_decay_duration	reset_intensity_in_reinforcement_pool
#special_ability_intensity_settings_tables;3;db/special_ability_intensity_settings_tables/scm_norsca							
hkrul_sayl_staff	1.0000	200.0000	all_wom_spent	linear_multiplier	-1.0000	0.0000	false
hkrul_einar_fury	0.0000	7500.0000	damage_taken	linear_multiplier	-1.0000	0.0000	false
hkrul_akkorak_horse	1.0000	200.0000	nearby_all_deaths	linear_multiplier	-1.0000	0.0000	false
hkrul_sarg_riders	1.0000	200.0000	kills_made	linear_multiplier	-1.0000	0.0000	false
wolftribe_abilities_frostaxe_aura	1.0000	100.0000	time_in_melee	linear_multiplier	-1.0000	0.0000	false
hkrul_wolf_stance	1.0000	2000.0000	damage_taken	linear_multiplier	-1.0000	0.0000	false
hkrul_wolf_walk	1.0000	200.0000	nearby_all_deaths	linear_multiplier	-1.0000	0.0000	false
hkrul_dodvakt_bite	1.0000	200.0000	enemy_in_range_low_morale	linear_multiplier	-1.0000	0.0000	false
hkrul_skald_horn_passive	1.0000	200.0000	nearby_all_deaths	linear_multiplier	-1.0000	0.0000	false
hkrul_skald_drum_passive	1.0000	200.0000	nearby_all_deaths	linear_multiplier	-1.0000	0.0000	false
hkrul_skraevold_fury	0.0000	300.0000	nearby_all_deaths	linear_multiplier	-1.0000	0.0000	false
