key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/scm_norsca								
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne			province	1	corruption_khorne.png	true	false	true
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle			province	1	corruption_nurgle.png	true	false	true
rhox_adella_corruption_slaanesh_91-100_rhox_adella_sla_slaanesh			province	1	corruption_slaanesh.png	true	false	true
rhox_adella_corruption_tzeentch_91-100_rhox_adella_tze_tzeentch			province	1	corruption_tzeentch.png	true	false	true
rhox_birna_ws_hunt			character	1	ranged_damage.png	true	false	true
rhox_fc_norsca_confederation_bonus			character	1	confederation.png	true	false	true
rhox_baersonling_high_wom			force	1	magic.png	true	false	true
rhox_icefang_region_winter_storm			region	1	attrition.png	true	false	true
rhox_akkorak_purchasable_speed			none	1	battle_movement.png	true	false	true
rhox_akkorak_purchasable_missile_resistance			none	1	resistance_missile.png	true	false	true
rhox_akkorak_purchasable_melee_attack			none	1	melee.png	true	false	true
rhox_fc_norsca_spared_leader			faction	1	attrition.png	true	false	true
rhox_bjornling_fish_stance			force	1	hkrul_bjornling_fish.png	true	false	true
rhox_fc_norsca_confederate_effect			faction	2	icon_effects_raiding.png	true	false	true
rhox_sayl_chaos_spawn_gift			character	1	hkrul_sayl_gift.png	true	true	false
rhox_adella_corruption_khorne_51-60			province	1	corruption_khorne.png	true	false	true
rhox_adella_corruption_khorne_61-70			province	1	corruption_khorne.png	true	false	true
rhox_adella_corruption_khorne_71-80			province	1	corruption_khorne.png	true	false	true
rhox_adella_corruption_khorne_81-90			province	1	corruption_khorne.png	true	false	true
rhox_adella_corruption_nurgle_51-60			province	1	corruption_nurgle.png	true	false	true
rhox_adella_corruption_nurgle_61-70			province	1	corruption_nurgle.png	true	false	true
rhox_adella_corruption_nurgle_71-80			province	1	corruption_nurgle.png	true	false	true
rhox_adella_corruption_nurgle_81-90			province	1	corruption_nurgle.png	true	false	true
rhox_adella_corruption_slaanesh_51-60			province	1	corruption_slaanesh.png	true	false	true
rhox_adella_corruption_slaanesh_61-70			province	1	corruption_slaanesh.png	true	false	true
rhox_adella_corruption_slaanesh_71-80			province	1	corruption_slaanesh.png	true	false	true
rhox_adella_corruption_slaanesh_81-90			province	1	corruption_slaanesh.png	true	false	true
rhox_adella_corruption_tzeentch_51-60			province	1	corruption_tzeentch.png	true	false	true
rhox_adella_corruption_tzeentch_61-70			province	1	corruption_tzeentch.png	true	false	true
rhox_adella_corruption_tzeentch_71-80			province	1	corruption_tzeentch.png	true	false	true
rhox_adella_corruption_tzeentch_81-90			province	1	corruption_tzeentch.png	true	false	true
hunting_camp_stance_army_settlement_horde			force	1	ogre_camp.png	true	false	true
hunting_camp_trait_bundle			faction	0		true	false	true
packlord_hunter_reward_kho			character	1	attribute_mark_khorne.png	false	false	true
packlord_hunter_reward_sla			character	1	attribute_mark_slaanesh.png	false	false	true
packlord_hunter_reward_nur			character	1	attribute_mark_nurgle.png	false	false	true
packlord_hunter_reward_tzc			character	1	attribute_mark_tzeentch.png	false	false	true
packlord_hunter_reward_olr			character	1	mannslieb_full_moon.png	false	false	true
wh_mod_lord_trait_nor_naglfarings			faction	1	effect_bundle_huern.png	true	false	true
wolftribe_payload_scm_norsca_asta_join			faction	1	hunter_effect_icons_imperial_supplies.png	true	false	true
wolftribe_payload_alfkael_join			faction	1	hunter_effect_icons_imperial_supplies.png	true	false	true
rhox_geimdall_bundle_ksl_followers_5	You have loyalists in all places of influence and power – the devotion of Kislev's people is yours.	Loyalist Supremacy (600)	faction	1	kislev_acolyte.png	true	false	true
hkrul_beorg_banner			character	1	public_order.png	true	false	true
rhox_beorg_faction_trait			faction	1	effect_bundle_beorg.png	true	false	true
hkrul_yngve_banner			character	1	public_order.png	true	false	true
hkrul_eyri_banner			character	1	public_order.png	true	false	true
hkrul_grydal_banner			character	1	public_order.png	true	false	true
rhox_baersonling_teleport			faction	1	corruption_tzeentch.png	true	false	true
