key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/hkrul_fc_norsca_faction_leader_effect								
hkrul_adella_faction_trait			faction	1	effect_bundle_skeggi.png	true	false	true
hkrul_sayl_faction_trait			faction	1	effect_bundle_dolgan.png	true	false	true
hkrul_birna_faction_trait			faction	1	effect_bundle_sarl.png	true	false	true
hkrul_akkorak_faction_trait			faction	1	effect_bundle_kul.png	true	false	true
hkrul_harald_faction_trait			faction	1	effect_bundle_graeling.png	true	false	true
hkrul_einar_faction_trait			faction	1	effect_bundle_baersonling.png	true	false	true
hkrul_drenok_faction_trait			faction	1	effect_bundle_icefang.png	true	false	true
hkrul_ulfric_faction_trait			faction	1	effect_bundle_bjornling.png	true	false	true
hkrul_hakka_faction_trait			faction	1	effect_bundle_aesling.png	true	false	true
hkrul_ek_faction_trait			faction	1	effect_bundle_varg.png	true	false	true
