ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/hkrul_harald			
hkrul_harald_sword	hkrul_harald_sword	character_to_character_own	1.0000
hkrul_harald_sword	wh_main_effect_character_stat_weapon_splash_power_mult	character_to_character_own	35.0000
hkrul_harald_sword	wh_main_effect_character_stat_melee_attack	character_to_character_own	20.0000
hkrul_norsca_ship_12	wh_main_effect_force_all_campaign_recruitment_cost_all	character_to_force_own_alt_text	-15.0000
hkrul_norsca_ship_12	wh3_main_effect_own_reinforcement_time_percentage_mod	character_to_force_own_unseen	-20.0000
hkrul_norsca_ship_12	wh_main_effect_force_all_campaign_reinforcement_range	character_to_character_own	20.0000
hkrul_norsca_ship_12	wh_main_effect_force_all_campaign_movement_range	character_to_force_own_unseen	20.0000
hkrul_norsca_ship_11	wh2_main_effect_ability_enable_regeneration	character_to_character_own	1.0000
hkrul_norsca_ship_11	wh_main_effect_force_all_campaign_movement_range	character_to_force_own_unseen	20.0000
hkrul_norsca_ship_11	wh_dlc05_effect_building_global_recruitment_duration	character_to_force_own_alt_text	-1.0000
