ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/hkrul_late_summer			
hkrul_goftur_sword	wh_main_effect_attribute_enable_strider	character_to_character_own	1.0000
hkrul_goftur_sword	hkrul_goftur_sword	character_to_character_own	1.0000
hkrul_goftur_sword	wh_main_effect_character_stat_melee_attack	character_to_character_own	20.0000
hkrul_grydal_axe	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
hkrul_grydal_axe	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	15.0000
hkrul_grydal_axe	hkrul_grydal_axe	character_to_character_own	1.0000
hkrul_urf_sword	wh_main_effect_attribute_enable_causes_fear	character_to_character_own	1.0000
hkrul_urf_sword	hkrul_urf_sword	character_to_character_own	1.0000
hkrul_urf_sword	wh_main_effect_character_stat_melee_attack	character_to_character_own	20.0000
hkrul_goftur_token	hkrul_goftur_bite	character_to_character_own	1.0000
hkrul_goftur_token	hkrul_goftur_vigor_sea	character_to_force_own_alt_text	-20.0000
hkrul_goftur_token	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0000
hkrul_yngve_eye	hkrul_yngve_eye	character_to_force_own_alt_text	1.0000
hkrul_yngve_eye	hkrul_yngve_norscan_giant_recruit_global	character_to_force_own_alt_text	-1.0000
hkrul_yngve_eye	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	15.0000
hkrul_yngve_eye	hkrul_cursd_ettin_xp_gain_rate	character_to_force_own_alt_text	25.0000
hkrul_oda_spear	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
hkrul_oda_spear	wh_main_effect_character_stat_range	character_to_character_own	15.0000
hkrul_oda_spear	hkrul_oda_spear	character_to_character_own	1.0000
hkrul_haraldur_sword	wh_main_effect_attribute_enable_causes_fear	character_to_character_own	1.0000
hkrul_haraldur_sword	hkrul_haraldur_killshot	character_to_character_own	1.0000
hkrul_haraldur_sword	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
hkrul_haraldur_sword	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	10.0000
hkrul_haraldur_shield	wh_main_effect_character_stat_armour	character_to_character_own	20.0000
hkrul_haraldur_shield	hkrul_haraldur_shield	character_to_character_own	1.0000
hkrul_haraldur_shield	wh_main_effect_character_stat_magic_resistance	character_to_character_own	10.0000
hkrul_haraldur_tankard	wh_main_effect_character_mod_ancillary_drop	character_to_force_own_unseen	15.0000
hkrul_haraldur_tankard	hkrul_haraldur_tankard	character_to_character_own	1.0000
hkrul_festerheart	hkrul_festerheart	character_to_character_own	1.0000
hkrul_festerheart	wh_main_effect_force_all_campaign_replenishment_rate	general_to_force_own	50.0000
hkrul_festerheart	wh3_main_faction_political_diplomacy_mod_nurgle	character_to_faction_unseen	35.0000
hkrul_festerheart	wh3_main_effect_ability_enable_bound_staff_of_nurgle	character_to_character_own	1.0000
hkrul_festerheart	wh3_main_effect_ability_enable_greater_gate_of_nurgle	character_to_character_own	1.0000
hkrul_festerheart	wh3_main_effect_corruption_nurgle_characters	character_to_any_province	15.0000
hkrul_haraldur_tankard	wh_main_effect_unit_recruitment_points	character_to_province_own	1.0000
