ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/hkrul_late_frost			
hkrul_geimdall_sword	wh_main_effect_attribute_enable_causes_fear	character_to_character_own	1.0000
hkrul_geimdall_sword	hkrul_geimdall_sword	character_to_character_own	1.0000
hkrul_geimdall_sword	wh_main_effect_character_stat_melee_attack	character_to_character_own	20.0000
hkrul_geimdall_horn	wh_main_effect_character_stat_leadership_aura_size_attacking	character_to_character_own	30.0000
hkrul_geimdall_horn	hkrul_geimdall_horn	character_to_character_own	1.0000
hkrul_geimdall_horn	wh_main_effect_force_all_campaign_raid_income	character_to_force_own_alt_text	15.0000
hkrul_geimdall_ship	hkrul_geimdall_shielded_melee_defence	character_to_force_own_alt_text	8.0000
hkrul_geimdall_ship	wh3_main_effect_character_experience_per_turn	character_to_character_own_factionwide_heroes	40.0000
hkrul_geimdall_ship	wh3_main_effect_force_all_campaign_movement_range_post_battle_win	character_to_character_own	25.0000
