ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/hkrul_nor_surp			
hkrul_tuula_axe	wh_main_effect_attribute_enable_causes_fear	character_to_character_own	1.0000
hkrul_tuula_axe	hkrul_tuula_axe	character_to_character_own	1.0000
hkrul_tuula_axe	wh_main_effect_character_stat_melee_attack	character_to_character_own	20.0000
hkrul_olaf_axe	wh_main_effect_attribute_enable_causes_terror	character_to_character_own	1.0000
hkrul_olaf_axe	hkrul_olaf_axe	character_to_character_own	1.0000
hkrul_olaf_axe	wh_main_effect_character_stat_melee_attack	character_to_character_own	25.0000
hkrul_olaf_helm	hkrul_olaf_helm	character_to_character_own	1.0000
hkrul_olaf_helm	wh_main_effect_character_stat_fire_resistance	character_to_character_own	35.0000
hkrul_olaf_helm	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
hkrul_olg_axe	hkrul_olg_axe	character_to_character_own	1.0000
hkrul_olg_helm	hkrul_olg_helm	character_to_character_own	1.0000
hkrul_crimson_rain	hkrul_khorne_bomb	character_to_character_own	1.0000
