granted_ancillary	skill	level
#character_skill_level_to_ancillaries_junctions_tables;1;db/character_skill_level_to_ancillaries_junctions_tables/hkrul_late_summer		
hkrul_goftur_sword	hkrul_goftur_sword	1
hkrul_urf_sword	hkrul_urf_sword	1
hkrul_goftur_token	hkrul_goftur_token	1
hkrul_grydal_axe	hkrul_grydal_axe	1
hkrul_grydal_banner	hkrul_grydal_banner	1
hkrul_norsca_ship_9	hkrul_goftur_ship	1
hkrul_norsca_ship_10	hkrul_eyri_special_1_0	1
hkrul_yngve_eye	hkrul_yngve_eye	1
hkrul_norsca_ship_12	hkrul_norsca_ship_12	1
