granted_ancillary	skill	level
#character_skill_level_to_ancillaries_junctions_tables;1;db/character_skill_level_to_ancillaries_junctions_tables/scm_norsca		
hkrul_adella_sword	hkrul_adella_sword	1
hkrul_adella_mount	hkrul_adella_mount	1
hkrul_adella_mount_2	hkrul_adella_mount_2	1
hkrul_adella_mount_3	hkrul_adella_mount_3	1
hkrul_akkorak_spear	hkrul_akkorak_spear	1
hkrul_birna_sword	hkrul_birna_sword	1
hkrul_birna_bow	hkrul_birna_bow	1
hkrul_drenok_axe	hkrul_drenok_axe	1
hkrul_einar_sword	hkrul_einar_sword	1
hkrul_harald_sword	hkrul_harald_sword	1
hkrul_lokjar_horse	hkrul_lokjar_horse	1
hkrul_lokjar_chariot	hkrul_lokjar_chariot	1
hkrul_lokjar_gorger	hkrul_lokjar_gorger	1
hkrul_lokjar_amulet	hkrul_lokjar_amulet	1
hkrul_sayl_staff	hkrul_sayl_staff	1
hkrul_ulfric_axe	hkrul_ulfric_axe	1
hkrul_ulfric_mammoth	hkrul_ulfric_mammoth	1
hkrul_ulfric_crown	hkrul_ulfric_crown	1
