campaign_group	unique_agent	base_charges
#campaign_group_unique_agents_tables;0;db/campaign_group_unique_agents_tables/scm_norsca		
wh_dlc08_feature_norsca	hkrul_adella	1
wh_dlc08_feature_norsca	hkrul_soren	1
wh_dlc08_feature_norsca	hkrul_akkorak	1
wh_dlc08_feature_norsca	hkrul_birna	1
wh_dlc08_feature_norsca	hkrul_drenok	1
wh_dlc08_feature_norsca	hkrul_einar	1
wh_dlc08_feature_norsca	hkrul_harald	1
wh_dlc08_feature_norsca	hkrul_sayl	1
wh_dlc08_feature_norsca	hkrul_ulfric	1
wh_dlc08_feature_norsca	hkrul_verdandi	1
wh_dlc08_feature_norsca	hkrul_kolsveinn	1
wh_dlc08_feature_norsca	hkrul_swyrd	1
wh_dlc08_feature_norsca	hkrul_lokjar	1
wh_dlc08_feature_norsca	hkrul_hakka	1
wh_dlc08_feature_norsca	hkrul_oda	1
wh_dlc08_feature_norsca	hkrul_rafn	1
wh_dlc08_feature_norsca	hkrul_hrothgar	1
wh_dlc08_feature_norsca	wh3_dlc24_tze_aekold_helbrass	1
wh_dlc08_feature_norsca	wh3_dlc24_tze_blue_scribes	1
wh_dlc08_feature_norsca	hkrul_sarg	1
wh_dlc08_feature_norsca	hkrul_uzul	1
wh_dlc08_feature_norsca	hkrul_surtha_ek	1
wh_dlc08_feature_norsca	scm_norsca_ulsdau	1
wh_dlc08_feature_norsca	scm_norsca_asta	1
wh_dlc08_feature_norsca	scm_norsca_alfkael	1
wh_dlc08_feature_norsca	hkrul_graill	1
wh_dlc08_feature_norsca	hkrul_hildr	1
