key	effects	duration	expended_cost	required_cost	image_path	upkeep_cost	point_cost	cooldown
#initiatives_tables;7;db/initiatives_tables/hkrul_late_summer								
hkrul_grydal_initiative_01	hkrul_grydal_initiative_01	-1			UI\skins\default\path_to_glory\boon_background_image_khorne.png		0	0
hkrul_grydal_initiative_02	hkrul_grydal_initiative_02	-1			UI\skins\default\path_to_glory\boon_background_image_khorne.png		0	0
hkrul_grydal_initiative_03	hkrul_grydal_initiative_03	-1			UI\skins\default\path_to_glory\boon_background_image_khorne.png		0	0
hkrul_grydal_initiative_04	hkrul_grydal_initiative_04	-1			UI\skins\default\path_to_glory\boon_background_image_khorne.png		0	0
hkrul_grydal_ascend	hkrul_grydal_ascend	1	hkrul_grydal_ascend		UI\skins\default\path_to_glory\mark_of_chaos_daemon_prince_khorne.png		0	0
hkrul_goftur_initiative_02	hkrul_goftur_initiative_02	-1			ui/skins/default/path_to_glory/hkrul_mermedus_ui.png		0	0
hkrul_goftur_initiative_03	hkrul_goftur_initiative_03	-1			ui/skins/default/path_to_glory/hkrul_mermedus_ui.png		0	0
hkrul_goftur_initiative_04	hkrul_goftur_initiative_04	-1			ui/skins/default/path_to_glory/hkrul_mermedus_ui.png		0	0
hkrul_goftur_initiative_05	hkrul_goftur_initiative_05	-1			ui/skins/default/path_to_glory/hkrul_mermedus_ui.png		0	0
hkrul_goftur_ascend	hkrul_goftur_ascend	1	hkrul_goftur_ascend		UI\skins\default\path_to_glory\mark_of_chaos_daemon_prince_undivided.png		0	0
