key	effects	duration	expended_cost	required_cost	image_path	upkeep_cost	point_cost	cooldown
#initiatives_tables;7;db/initiatives_tables/rhox_fc_norsca								
rhox_baersonling_chaos_lord_tzeentch_from_marauder_chieftain	wh3_dlc20_character_upgrade_effects	1	rhox_baersonling_chaos_lord_tzeentch_from_marauder_chieftain	rhox_baersonling_chaos_lord_tzeentch_from_marauder_chieftain	UI\skins\default\path_to_glory\mark_of_chaos_daemon_prince_tzeentch.png		0	0
rhox_baersonling_daemon_prince_tzeentch_from_chaos_lord_tzeentch	wh3_dlc20_character_upgrade_effects	1	rhox_baersonling_daemon_prince_tzeentch_from_chaos_lord_tzeentch	rhox_baersonling_daemon_prince_tzeentch_from_chaos_lord_tzeentch	UI\skins\default\path_to_glory\mark_of_chaos_daemon_prince_tzeentch.png		0	0
rhox_sarg_faction_initiative_chs_undivided_1_army_marauders	wh3_dlc20_faction_initiative_chs_undivided_1_army_marauders	-1	rhox_sarg_initiative_devotee_und_t1	rhox_sarg_initiative_devotee_und_t1	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_1.png	rhox_sarg_initiative_devotee_und_upkeep_t1	0	0
rhox_sarg_faction_initiative_chs_undivided_1_economy_building	wh3_dlc20_faction_initiative_chs_undivided_1_economy_building	-1	rhox_sarg_initiative_devotee_und_t1	rhox_sarg_initiative_devotee_und_t1	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_1.png	rhox_sarg_initiative_devotee_und_upkeep_t1	0	0
rhox_sarg_faction_initiative_chs_undivided_2_army_upgrades	wh3_dlc20_faction_initiative_chs_undivided_2_army_upgrades	-1	rhox_sarg_initiative_devotee_und_t2	rhox_sarg_initiative_devotee_und_t2_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_2.png	rhox_sarg_initiative_devotee_und_upkeep_t2	0	0
rhox_sarg_faction_initiative_chs_undivided_2_xp_sharing	wh3_dlc20_faction_initiative_chs_undivided_2_xp_sharing	-1	rhox_sarg_initiative_devotee_und_t2	rhox_sarg_initiative_devotee_und_t2_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_2.png	rhox_sarg_initiative_devotee_und_upkeep_t2	0	0
rhox_sarg_faction_initiative_chs_undivided_3_army_elites	wh3_dlc20_faction_initiative_chs_undivided_3_elites	-1	rhox_sarg_initiative_devotee_und_t3	rhox_sarg_initiative_devotee_und_t3_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_3.png	rhox_sarg_initiative_devotee_und_upkeep_t3	0	0
rhox_sarg_faction_initiative_chs_undivided_3_units_hellcannons	wh3_dlc20_faction_initiative_chs_undivided_3_units_hellcannons	-1	rhox_sarg_initiative_devotee_und_t3	rhox_sarg_initiative_devotee_und_t3_sacrifice_requirement_high	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_3.png	rhox_sarg_initiative_devotee_und_upkeep_t3	0	0
rhox_sarg_faction_initiative_chs_undivided_3_units_warshrine	wh3_dlc20_faction_initiative_chs_undivided_3_units_warshrine	-1	rhox_sarg_initiative_devotee_und_t4	rhox_sarg_initiative_devotee_und_t4_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_4.png	rhox_sarg_initiative_devotee_und_upkeep_t4	0	0
