land_unit_articulated_vehicle	index	max_angle	offset	radius	secondary_entity_index	docking_offset	pivot_0_target_offset	pivot_1_target_offset	pivot_2_target_offset
#articulation_nodes_in_land_articulated_vehicles_tables;3;db/articulation_nodes_in_land_articulated_vehicles_tables/medusa_ek_articulation_nodes_in_land_articulated_vehicles_data									
nor_surtha_ek_scythed_chariot	0	75.0000	0.0000	1.2500	-1	0.0000	0	0	0
nor_surtha_ek_scythed_chariot	1	75.0000	2.4000	0.2500	-1	0.0000	0	0	0
nor_surtha_ek_scythed_chariot	2	75.0000	4.0000	1.2500	-1	0.0000	0	0	0
wh_mod_nor_varg_siege_tower	0	10.0000	0.8000	1.2500	-1	0.0000	0	0	0
wh_mod_nor_varg_siege_tower	1	10.0000	2.7000	0.2500	-1	0.0000	0	0	0
wh_mod_nor_varg_siege_tower	2	10.0000	5.0000	1.5000	-1	0.0000	0	0	0
wh_mod_nor_varg_war_wagon	0	60.0000	0.8000	1.2500	-1	0.0000	0	0	0
wh_mod_nor_varg_war_wagon	1	60.0000	2.7000	0.2500	-1	0.0000	0	0	0
wh_mod_nor_varg_war_wagon	2	60.0000	5.0000	1.5000	-1	0.0000	0	0	0
