ancillary	skill	use_quest_for_prefix
#character_skills_to_quest_ancillaries_tables;1;db/character_skills_to_quest_ancillaries_tables/scm_norsca		
hkrul_adella_sword	hkrul_adella_sword	true
hkrul_lokjar_gorger	hkrul_lokjar_gorger	true
hkrul_lokjar_amulet	hkrul_lokjar_amulet	true
hkrul_akkorak_spear	hkrul_akkorak_spear	true
hkrul_birna_sword	hkrul_birna_sword	true
hkrul_birna_bow	hkrul_birna_bow	true
hkrul_drenok_axe	hkrul_drenok_axe	true
hkrul_einar_sword	hkrul_einar_sword	true
hkrul_hakka_axe	hkrul_hakka_axe	true
hkrul_harald_sword	hkrul_harald_sword	true
hkrul_sayl_staff	hkrul_sayl_staff	true
hkrul_ulfric_axe	hkrul_ulfric_axe	true
hkrul_ulfric_crown	hkrul_ulfric_crown	true
hkrul_sayl_teeth	hkrul_sayl_teeth	true
hkrul_sarg_sword	hkrul_sarg_sword	true
hkrul_uzul_drum	hkrul_uzul_drum	true
hkrul_surtha_ek_speed_up	hkrul_surtha_ek_speed_up	true
scm_norsca_huern_thralls_lament	scm_norsca_huern_thralls_lament	true
scm_norsca_huern_chieftains_horn	scm_norsca_huern_chieftains_horn	true
scm_norsca_graill_valdyr	scm_norsca_graill_valdyr	true
wolftribe_scm_norsca_asta_ardenwood_bow	wolftribe_scm_norsca_asta_ardenwood_bow	true
wolftribe_alfkael_nithi	wolftribe_alfkael_nithi	true
scm_norsca_huern_anci_armor_pelt	scm_norsca_huern_anci_armor_pelt	true
hkrul_ulsdau_eldur	hkrul_ulsdau_eldur	true
hkrul_norsca_ship_5	hkrul_norsca_ship_5	true
hkrul_hildr_axe	hkrul_hildr_axe	true
