unit_name	unit_level	unit_type	percentage_num_men	percentage_num_health	reduce_max_number
#battle_set_piece_armies_units_tables;4;db/battle_set_piece_armies_units_tables/hkrul_norsca_qb_adella					
hkrul_skeggi_inf_marauder_champions_1	1	hkrul_skeggi_inf_marauder_champions_1	100	100	false
hkrul_skeggi_inf_marauder_berserkers_0	1	hkrul_skeggi_inf_marauder_berserkers_0	100	100	false
hkrul_skeggi_inf_marauder_champions_0	1	hkrul_skeggi_inf_marauder_champions_0	100	100	false
hkrul_skeggi_inf_marauder_hunters_1	1	hkrul_skeggi_inf_marauder_hunters_1	100	100	false
hkrul_skeggi_inf_marauder_spearman_0	1	hkrul_skeggi_inf_marauder_spearman_0	100	100	false
hkrul_skeggi_giant	1	hkrul_skeggi_giant	100	100	false
hkrul_skeggi_giant_ror	1	hkrul_skeggi_giant_ror	100	100	false
hkrul_skeggi_inf_chaos_marauders_0	1	hkrul_skeggi_inf_chaos_marauders_0	100	100	false
hkrul_skeggi_inf_chaos_marauders_1	1	hkrul_skeggi_inf_chaos_marauders_1	100	100	false
hkrul_skeggi_inf_marauder_hunters_0	1	hkrul_skeggi_inf_marauder_hunters_0	100	100	false
wh2_main_lzd_mon_stegadon_0_1	1	wh2_main_lzd_mon_stegadon_0	100	100	false
wh2_main_lzd_mon_stegadon_0_3	3	wh2_main_lzd_mon_stegadon_0	100	100	false
wh2_main_lzd_mon_stegadon_0_6	6	wh2_main_lzd_mon_stegadon_0	100	100	false
wh_dlc08_nor_inf_marauder_hunters_1	8	wh_dlc08_nor_inf_marauder_hunters_1	100	100	false
