unit_name	unit_level	unit_type	percentage_num_men	percentage_num_health	reduce_max_number
#battle_set_piece_armies_units_tables;4;db/battle_set_piece_armies_units_tables/hkrul_norsca_qb_birna					
hkrul_sarl_hunters_cb	6	hkrul_sarl_hunters	100	100	false
hkrul_sarl_hunters_ror_cb	8	hkrul_sarl_hunters_ror	100	100	false
hkrul_birna_river_trolls_cb	5	hkrul_birna_river_trolls	100	100	false
hkrul_sarl_inf_marauder_champions_1	4	hkrul_sarl_inf_marauder_champions_1	100	100	false
hkrul_sarl_inf_marauder_berserkers_0	1	hkrul_sarl_inf_marauder_berserkers_0	100	100	false
hkrul_sarl_inf_marauder_champions_0	1	hkrul_sarl_inf_marauder_champions_0	100	100	false
hkrul_sarl_inf_marauder_hunters_1	8	hkrul_sarl_inf_marauder_hunters_1	100	100	false
hkrul_sarl_inf_marauder_spearman_0	6	hkrul_sarl_inf_marauder_spearman_0	100	100	false
hkrul_sarl_inf_chaos_marauders_0	4	hkrul_sarl_inf_chaos_marauders_0	100	100	false
hkrul_sarl_inf_chaos_marauders_1	1	hkrul_sarl_inf_chaos_marauders_1	100	100	false
hkrul_sarl_inf_marauder_hunters_0	1	hkrul_sarl_inf_marauder_hunters_0	100	100	false
