unit_name	unit_level	unit_type	percentage_num_men	percentage_num_health	reduce_max_number
#battle_set_piece_armies_units_tables;4;db/battle_set_piece_armies_units_tables/hkrul_norsca_qb_olaf					
hkrul_bloodtide_inf_marauder_champions_1_1	1	wh3_dlc20_chs_inf_chosen_mkho_dualweapons	100	100	false
hkrul_bloodtide_inf_marauder_champions_0_1	1	wh_dlc08_nor_inf_marauder_champions_0	100	100	false
hkrul_bloodtide_inf_marauder_hunters_1_1	1	wh_dlc08_nor_inf_marauder_hunters_1	100	100	false
hkrul_bloodtide_inf_marauder_hunters_0_1	1	wh_dlc08_nor_inf_marauder_hunters_0	100	100	false
hkrul_bloodtide_cav_marauder_horsemen_0_1	4	wh3_dlc20_chs_cav_marauder_horsemen_mkho_throwing_axes	100	100	false
hkrul_bloodtide_inf_marauder_spearman_0_1	4	wh_dlc08_nor_inf_marauder_spearman_0	100	100	false
hkrul_bloodtide_inf_chaos_marauders_0_1	3	wh3_dlc20_chs_inf_chaos_marauders_mkho	100	100	false
hkrul_bloodtide_inf_chaos_marauders_1_1	3	wh3_dlc20_chs_inf_chaos_marauders_mkho_dualweapons	100	100	false
hkrul_bloodtide_inf_marauder_berserker_ror	8	wh_pro04_nor_inf_marauder_berserkers_ror_0	100	100	false
hkrul_bloodtide_mammoth_bloodfjord_ror	8	wh_dlc08_nor_mon_war_mammoth_ror_1	100	100	false
hkrul_nordland_inf_halberdier_ror	8	wh2_dlc13_emp_inf_halberdiers_ror_0	100	100	false
hkrul_norscan_mammoth_ror	8	wh_pro04_nor_mon_war_mammoth_ror_0	100	100	false
scm_fc_norsca_bloodfjord_nor_marauder_javelins_1	4	scm_fc_norsca_bloodfjord_nor_marauder_javelins	100	100	false
scm_fc_norsca_bloodfjord_nor_marauder_spear_1	6	scm_fc_norsca_bloodfjord_nor_marauder_spear	100	100	false
hkrul_bloodtide_inf_marauder_champions_2_0	6	hkrul_bloodfjord_inf_marauder_champions_1	100	100	false
hkrul_bloodtide_inf_marauder_champions_2_1	5	hkrul_bloodfjord_inf_marauder_champions_0	100	100	false
