unit_name	unit_level	unit_type	percentage_num_men	percentage_num_health	reduce_max_number
#battle_set_piece_armies_units_tables;4;db/battle_set_piece_armies_units_tables/hkrul_norsca_qb_einar					
hkrul_baerson_inf_marauder_champions_1_1	6	hkrul_baerson_inf_marauder_champions_1	100	100	false
hkrul_baerson_inf_marauder_champions_0_1	3	hkrul_baerson_inf_marauder_champions_0	100	100	false
hkrul_baerson_inf_marauder_hunters_1_1	2	hkrul_baerson_inf_marauder_hunters_1	100	100	false
hkrul_baerson_inf_marauder_hunters_0_1	1	hkrul_baerson_inf_marauder_hunters_0	100	100	false
hkrul_baerson_inf_marauder_spearman_0_1	4	hkrul_baerson_inf_marauder_spearman_0	100	100	false
hkrul_baerson_inf_chaos_marauders_0_1	6	hkrul_baerson_inf_chaos_marauders_0	100	100	false
hkrul_baerson_inf_chaos_marauders_0_2	5	hkrul_baerson_inf_chaos_marauders_1	100	100	false
hkrul_baerson_asta	0	scm_norsca_asta	100	100	false
hkrul_aesling_inf_marauder_javelin	4	scm_fc_norsca_aesling_nor_marauder_javelins	100	100	false
hkrul_aesling_inf_marauder_spear	2	scm_fc_norsca_aesling_nor_marauder_spear	100	100	false
hkrul_aesling_inf_marauder_0	1	scm_fc_norsca_aesling_nor_marauder	100	100	false
hkrul_aesling_inf_marauder_1	5	scm_fc_norsca_aesling_nor_marauder_great_weapons	100	100	false
hkrul_aesling_inf_hounds	5	wh3_main_kho_inf_flesh_hounds_of_khorne_0	100	100	false
hkrul_aesling_inf_bloodbeast	8	hkrul_skraevold	100	100	false
hkrul_aesling_inf_shrine	5	wh3_dlc20_chs_mon_warshrine_mkho	100	100	false
