unit_name	unit_level	unit_type	percentage_num_men	percentage_num_health	reduce_max_number
#battle_set_piece_armies_units_tables;4;db/battle_set_piece_armies_units_tables/hkrul_norsca_qb_ulfric					
hkrul_bjornling_inf_marauder_champions_1_1	1	hkrul_bjornling_inf_marauder_champions_1	100	100	false
hkrul_wh2_dlc11_cst_mon_necrofex_colossus_0	1	wh2_dlc11_cst_mon_necrofex_colossus_0	100	100	false
hkrul_wh3_main_ogr_inf_maneaters_3_5	5	wh3_main_ogr_inf_maneaters_3	100	100	false
hkrul_bjornling_inf_marauder_champions_0_1	1	hkrul_bjornling_inf_marauder_champions_0	100	100	false
hkrul_bjornling_inf_marauder_hunters_1_1	1	hkrul_bjornling_inf_marauder_hunters_1	100	100	false
hkrul_bjornling_inf_marauder_hunters_0_1	1	hkrul_bjornling_inf_marauder_hunters_0	100	100	false
hkrul_bjornling_inf_marauder_spearman_0_1	4	hkrul_bjornling_inf_marauder_spearman_0	100	100	false
hkrul_bjornling_inf_chaos_marauders_0_1	3	hkrul_bjornling_inf_chaos_marauders_0	100	100	false
hkrul_bjornling_inf_chaos_marauders_1_1	3	hkrul_bjornling_inf_chaos_marauders_1	100	100	false
hkrul_norscan_giant_5	5	wh_dlc08_nor_mon_norscan_giant_0	100	100	false
hkrul_norscan_feral_mammoth_3	3	wh_dlc08_nor_mon_war_mammoth_0	100	100	false
