key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/hkrul_adella		
hkrul_norsca_spear	infantry_spear	hkrul_nor_norsca
hkrul_norsca_beast	giant	hkrul_nor_norsca
hkrul_norsca_missile	wh2_main_missile_infantry_javelin	hkrul_nor_norsca
hkrul_norsca_axe	infantry_axe	hkrul_nor_norsca
hkrul_norsca_axe_duel	infantry_axe_dual	hkrul_nor_norsca
hkrul_norsca_axe_great	infantry_axe_great	hkrul_nor_norsca
hkrul_norsca_axe_throwing	wh_dlc06_dwf_throwing_axe	hkrul_nor_norsca
hkrul_soren	wh2_dlc12_magic_lore_generic	heroes_agents
hkrul_norsca_missile_bow	missile_infantry_bow	hkrul_nor_norsca
hkrul_norsca_missile_bow_lord	missile_infantry_bow	commander
hkrul_norsca_missile_bow_hero	missile_infantry_bow	heroes_agents
hkrul_norsca_javelin_hero	infantry_sword	heroes_agents
hkrul_norsca_drummer_hero	hkrul_infantry_drummer	heroes_agents
hkrul_norsca_whip_lord	wh2_dlc09_tmb_whip_infantry	commander
hkrul_norsca_axe_great_hero	infantry_axe_great	heroes_agents
