bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/hkrul_ulfric	
anti_large	hkrul_bjornling_inf_marauder_spearman_0
charge_reflector_vs_large	hkrul_bjornling_inf_marauder_spearman_0
anti_infantry	hkrul_bjornling_inf_marauder_berserkers_0
damage_dealer	hkrul_bjornling_inf_marauder_berserkers_0
frenzy	hkrul_bjornling_inf_marauder_berserkers_0
armoured_and_shielded	hkrul_bjornling_inf_marauder_champions_0
armour_piercing	hkrul_bjornling_inf_marauder_champions_1
armoured	hkrul_bjornling_inf_marauder_champions_1
anti_large	hkrul_bjornling_inf_marauder_hunters_1
decent_melee	hkrul_bjornling_inf_marauder_hunters_1
shielded	hkrul_bjornling_inf_chaos_marauders_0
armour_piercing	hkrul_bjornling_inf_chaos_marauders_1
armour_piercing_ranged	hkrul_bjornling_inf_marauder_hunters_0
decent_melee	hkrul_bjornling_inf_marauder_hunters_0
armour_piercing_ranged	hkrul_bjornling_ogg
damage_dealer	hkrul_bjornling_ogg
ogre_charge	hkrul_bjornling_ogg
armour_piercing_ranged	scm_fc_norsca_aesling_nor_marauder_throwing_axe
decent_melee	scm_fc_norsca_aesling_nor_marauder_throwing_axe
anti_large	scm_fc_norsca_aesling_nor_marauder_javelins
decent_melee	scm_fc_norsca_aesling_nor_marauder_javelins
anti_large	scm_fc_norsca_aesling_nor_marauder_spear
charge_reflector_vs_large	scm_fc_norsca_aesling_nor_marauder_spear
very_fast	scm_fc_norsca_aesling_nor_marauder_horsemen_throwing_axe
shielded	scm_fc_norsca_aesling_nor_marauder
shielded	scm_fc_norsca_aesling_nor_marauder_great_weapons
