bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/scm_norsca_elite	
armoured_and_shielded	rhox_graeling_champion
armoured_and_shielded	rhox_kurgan_champion
armoured_and_shielded	rhox_baersonling_champion
armour_piercing	rhox_baersonling_champion
anti_infantry	rhox_aesling_berserker
damage_dealer	rhox_aesling_berserker
frenzy	rhox_aesling_berserker
anti_large	rhox_kurgan_javelin
decent_melee	rhox_kurgan_javelin
anti_large	rhox_kurgan_spearman
charge_reflector_vs_large	rhox_kurgan_spearman
armoured_and_shielded	rhox_skeggi_champion
anti_large	rhox_yusak_devoted_marauders
meat_shield	rhox_yusak_devoted_marauders
shielded	rhox_yusak_devoted_marauders
shielded	rhox_drenok_marauder
shielded	rhox_wolftribe_marauder
armour_piercing	hkrul_bloodfjord_inf_marauder_champions_1
armoured_and_shielded	hkrul_bloodfjord_inf_marauder_champions_0
