bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/hkrul_adella	
anti_large	hkrul_skeggi_inf_marauder_spearman_0
charge_reflector_vs_large	hkrul_skeggi_inf_marauder_spearman_0
anti_infantry	hkrul_skeggi_inf_marauder_berserkers_0
damage_dealer	hkrul_skeggi_inf_marauder_berserkers_0
frenzy	hkrul_skeggi_inf_marauder_berserkers_0
armoured_and_shielded	hkrul_skeggi_inf_marauder_champions_0
armour_piercing	hkrul_skeggi_inf_marauder_champions_1
armoured	hkrul_skeggi_inf_marauder_champions_1
anti_large	hkrul_skeggi_inf_marauder_hunters_1
decent_melee	hkrul_skeggi_inf_marauder_hunters_1
shielded	hkrul_skeggi_inf_chaos_marauders_0
armour_piercing	hkrul_skeggi_inf_chaos_marauders_1
anti_infantry	hkrul_skeggi_giant
armour_piercing	hkrul_skeggi_giant
terror	hkrul_skeggi_giant
armour_piercing_ranged	hkrul_skeggi_inf_marauder_hunters_0
decent_melee	hkrul_skeggi_inf_marauder_hunters_0
anti_infantry	hkrul_skeggi_giant_ror
armour_piercing	hkrul_skeggi_giant_ror
terror	hkrul_skeggi_giant_ror
armour_piercing_melee	r1kko_adella_kho_bastiladon
armoured	r1kko_adella_kho_bastiladon
rampage	r1kko_adella_kho_bastiladon
terror	r1kko_adella_kho_bastiladon
armour_piercing_melee	r1kko_adella_nur_bastiladon
armoured	r1kko_adella_nur_bastiladon
rampage	r1kko_adella_nur_bastiladon
terror	r1kko_adella_nur_bastiladon
armour_piercing_melee	r1kko_adella_sla_bastiladon
armoured	r1kko_adella_sla_bastiladon
rampage	r1kko_adella_sla_bastiladon
terror	r1kko_adella_sla_bastiladon
armour_piercing_melee	r1kko_adella_tze_bastiladon
armoured	r1kko_adella_tze_bastiladon
rampage	r1kko_adella_tze_bastiladon
terror	r1kko_adella_tze_bastiladon
anti_large	r1kko_adella_kho_carnosaur
armour_piercing	r1kko_adella_kho_carnosaur
armoured	r1kko_adella_kho_carnosaur
rampage	r1kko_adella_kho_carnosaur
armour_piercing	r1kko_adella_nur_stegadon
armoured	r1kko_adella_nur_stegadon
rampage	r1kko_adella_nur_stegadon
terror	r1kko_adella_nur_stegadon
aquatic	r1kko_adella_sla_troglodon
armour_piercing	r1kko_adella_sla_troglodon
poison	r1kko_adella_sla_troglodon
terror	r1kko_adella_sla_troglodon
master_of_sacred_places	r1kko_adella_tze_coatl
scaly_skin	r1kko_adella_tze_coatl
spellcaster	r1kko_adella_tze_coatl
armour_piercing	rhox_skeggi_dodvakt
armoured_and_shielded	rhox_skeggi_dodvakt
predatory_senses	rhox_skeggi_dodvakt
primal_instincts	rhox_skeggi_dodvakt
