key	unbound_decision_item_type	conditionally_spawnable_force	plague	ritual	decision_interface	province_initiative	compass_direction	plague_component	plague_recipe	occupation_decision	teleportation_node_template	FIXME	culture_occupation_decision	compass_action	initiative	initiative_set
#cai_decision_items_tables;13;db/cai_decision_items_tables/rhox_fc_norsca																
rhox_baersonling_chaos_lord_tzeentch_from_marauder_chieftain					character_initiatives							true	0		rhox_baersonling_chaos_lord_tzeentch_from_marauder_chieftain	rhox_baersonling_marauder_chieftain_initiatives
rhox_baersonling_daemon_prince_tzeentch_from_chaos_lord_tzeentch					character_initiatives							true	0		rhox_baersonling_daemon_prince_tzeentch_from_chaos_lord_tzeentch	rhox_baersonling_tze_chaos_lord_initiatives
rhox_sarg_faction_initiative_chs_undivided_1_army_marauders					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_undivided_1_army_marauders	rhox_sarg_faction_initiative_set_chs_undivided
rhox_sarg_faction_initiative_chs_undivided_1_economy_building					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_undivided_1_economy_building	rhox_sarg_faction_initiative_set_chs_undivided
rhox_sarg_faction_initiative_chs_undivided_2_army_upgrades					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_undivided_2_army_upgrades	rhox_sarg_faction_initiative_set_chs_undivided
rhox_sarg_faction_initiative_chs_undivided_2_xp_sharing					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_undivided_2_xp_sharing	rhox_sarg_faction_initiative_set_chs_undivided
rhox_sarg_faction_initiative_chs_undivided_3_army_elites					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_undivided_3_army_elites	rhox_sarg_faction_initiative_set_chs_undivided
rhox_sarg_faction_initiative_chs_undivided_3_units_hellcannons					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_undivided_3_units_hellcannons	rhox_sarg_faction_initiative_set_chs_undivided
rhox_sarg_faction_initiative_chs_undivided_3_units_warshrine					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_undivided_3_units_warshrine	rhox_sarg_faction_initiative_set_chs_undivided
rhox_sarg_faction_initiative_chs_slaanesh_1_army_movement					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_slaanesh_1_army_movement	rhox_sarg_faction_initiative_set_chs_slaanesh
rhox_sarg_faction_initiative_chs_slaanesh_1_economy_control					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_slaanesh_1_economy_control	rhox_sarg_faction_initiative_set_chs_slaanesh
rhox_sarg_faction_initiative_chs_slaanesh_1_units_daemonettes					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_slaanesh_1_units_daemonettes	rhox_sarg_faction_initiative_set_chs_slaanesh
rhox_sarg_faction_initiative_chs_slaanesh_1_units_seeker_chariots					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_slaanesh_1_units_seeker_chariots	rhox_sarg_faction_initiative_set_chs_slaanesh
rhox_sarg_faction_initiative_chs_slaanesh_2_army_upgrades					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_slaanesh_2_army_upgrades	rhox_sarg_faction_initiative_set_chs_slaanesh
rhox_sarg_faction_initiative_chs_slaanesh_3_units_fiends					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_slaanesh_3_units_fiends	rhox_sarg_faction_initiative_set_chs_slaanesh
rhox_sarg_faction_initiative_chs_slaanesh_3_units_warshrine					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_slaanesh_3_units_warshrine	rhox_sarg_faction_initiative_set_chs_slaanesh
rhox_sarg_faction_initiative_chs_slaanesh_5_units_keeper_of_secrets					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_slaanesh_5_units_keeper_of_secrets	rhox_sarg_faction_initiative_set_chs_slaanesh
rhox_sarg_faction_initiative_chs_slaanesh_5_units_soul_grinder					faction_initiatives							false	0		rhox_sarg_faction_initiative_chs_slaanesh_5_units_soul_grinder	rhox_sarg_faction_initiative_set_chs_slaanesh
