key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/hkrul_late_frost																																																											
hkrul_mortensen	10	wh2_main_leather_65	2100	inf_melee	52	com	hkrul_mortensen	hu1c_chaos_axe_and_shield	wh_main_infantry_standard_hero_blood	57	42	70	4024		0	hkrul_mortensen		1	wh_missile_block_65_wood	hkrul_mortensen	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_mortensen	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_mortensen_horse	10	wh2_main_leather_65	2100	war_beast	65	com	hkrul_mortensen	hu1c_wh3_dlc20_hr1_glhh_sword_and_shield	wh_main_infantry_standard_hero_blood	60	40	70	4657	wh3_dlc20_chs_mnt_norscan_warhorse_lords	1	hkrul_mortensen		1	wh_missile_block_65_wood	hkrul_mortensen	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	wh_main_nor_cha_marauder_chieftan_1	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_mortensen_chariot	10	wh2_main_heavy_metal_90	2100	war_machine	90	com	hkrul_mortensen	hu1c_chaos_wm_chariot_axe_and_shield	wh_main_infantry_standard_hero_blood	38	20	70	4901	wh_main_chs_mnt_norscan_warhorse_chariots	2	wh_main_chs_chariot_hero		1	wh_missile_block_65_wood	hkrul_mortensen	wh_main_chariot	trained	wh_main_chs_chariot_horse	wh_main_chs_chariot_large_draught	true	40.0000	1500.0000	wh_main_nor_cha_marauder_chieftan_2	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	1	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_geimdall	10	wh2_main_chainmail_95	2100	inf_melee	45	com	hkrul_geimdall	geimdall	wh_main_infantry_standard_hero_blood	45	68	75	4671		0	hkrul_geimdall		1	wh_missile_block_70_wood	hkrul_geimdall	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_geimdall	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
hkrul_yngve	10	wh2_main_leather_45	2100	inf_ranged	30	com	hkrul_yngve	yngve	wh_main_infantry_standard_hero_blood	55	45	70	3732		0	hkrul_yngve		1	none	hkrul_yngve	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_yngve	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_yngve_horse	10	wh2_main_plate_110	2100	war_beast	65	com	hkrul_yngve	yngve_horse	wh_main_infantry_standard_hero_blood	55	45	70	4521	wh3_dlc20_chs_mnt_norscan_warhorse_lords	1	hkrul_yngve		1	none	hkrul_yngve	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	hkrul_yngve	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_yngve_chariot	10	wh2_main_heavy_metal_110	2100	war_machine	70	com	hkrul_yngve	hu1c_chaos_sorcerer_chariot_halberd	wh_main_infantry_standard_hero_blood	30	20	70	4486	wh_main_chs_mnt_norscan_warhorse_chariots	2	wh_main_chs_chariot_hero		1	none	hkrul_yngve	wh_main_chariot	trained	wh_main_chs_chariot_horse	wh_main_chs_chariot_large_draught	true	40.0000	1500.0000	hkrul_yngve	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	1	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_yngve_manticore	10	wh2_main_body_80	2100	war_beast	50	com	hkrul_yngve	hu1c_chaos_bc3_manticore_wb_staff_and_sword	wh_main_infantry_standard_hero_blood	45	37	70	5221	wh_dlc01_chs_mnt_manticore	1	hkrul_yngve_manticore		1	none	hkrul_yngve	wh_main_monster	trained			true	40.0000	1500.0000	wh_dlc01_chs_cha_chaos_sorcerer_shadows_3	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	flying_melee_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
hkrul_ziege	10	wh2_main_plate_95	2100	inf_melee	40	com	hkrul_ziege	hu1_empire_2handed_sword	wh_main_infantry_standard_hero_blood_dismembers	71	60	85	5874		0	hkrul_willi_ziege		1	none	hkrul_ziege	wh_main_infantry	trained			true	40.0000	1500.0000	hkrul_willi_ziege	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
