key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/hkrul_nor_surp																																																											
hkrul_olg	10	wh2_main_body_70	2100	inf_melee	52	com	hkrul_olg	olaf	wh_main_infantry_standard_hero_blood	57	42	70	4024		0	hkrul_olg		1	none	hkrul_olg	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_olg	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_olg_chariot	10	wh2_main_heavy_metal_90	2100	war_machine	90	com	hkrul_olg	hu1c_chaos_wm_chariot_axe_and_shield	wh_main_infantry_standard_hero_blood	38	20	70	4901	wh_main_chs_mnt_norscan_warhorse_chariots	2	wh_main_chs_chariot_hero		1	none	hkrul_olg	wh_main_chariot	trained	wh_main_chs_chariot_horse	wh_main_chs_chariot_large_draught	true	40.0000	1500.0000	wh_main_nor_cha_marauder_chieftan_2	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	aquatic_large	0	0	0	0	1	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_tuula	10	wh2_main_leather_50	2100	inf_melee	45	com	hkrul_tuula	tuula	wh_main_infantry_standard_hero_blood	55	43	70	4112		0	hkrul_tuula		1	none	hkrul_tuula	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_tuula	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_haftagg	10	wh2_main_heavy_metal_70	2100	inf_melee	50	com	hkrul_haftagg	hu8d_wh3_gorger	wh_dlc08_nor_skin_wolf_werekin_blood	48	33	70	5032		0	hkrul_haftagg		1	none	hkrul_haftagg	wh_dlc03_bst_gorebull	trained			true	40.0000	1500.0000	wh_dlc08_nor_cha_skin_wolf_werekin_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	20	0	0	melee_highvalue	false	true	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
hkrul_olaf_chariot	10	wh2_main_heavy_metal_100	2100	war_machine	90	com	hkrul_haftagg	hu1c_chaos_wm_chariot_halberd	wh_main_infantry_standard_hero_blood	38	20	70	4901	wh3_dlc20_chs_mnt_chaos_steed_mkho_chariots	2	wh_main_chs_chariot_hero		1	none	hkrul_haftagg	wh_main_chariot	trained	wh_main_chs_chariot_horse	wh3_dlc20_chs_chariot_mkho_large_draught	true	40.0000	1500.0000	hkrul_olaf	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	1	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_olaf	10	wh2_main_heavy_metal_85	2100	inf_melee	50	com	hkrul_olaf	olaf	wh_main_infantry_standard_hero_blood	61	45	75	4521		0	hkrul_olaf		1	none	hkrul_olaf	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_olaf	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_tuula_chariot	10	wh2_main_heavy_metal_90	2100	war_machine	90	com	hkrul_tuula	hu1_settra_wm_tomb_chariot01_2handed_halberd	wh_main_infantry_standard_hero_blood	38	20	70	4901	wh3_dlc20_chs_mnt_chaos_steed_mkho_chariots	2	wh_main_chs_chariot_hero		1	none	hkrul_tuula	wh_main_chariot	trained	wh_main_chs_chariot_horse	wh3_dlc20_chs_chariot_mkho_large_draught	true	40.0000	1500.0000	hkrul_tuula	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	1	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_olaf_mammoth	10	wh2_main_heavy_metal_80	2100	war_beast	70	com	hkrul_olaf	hu1c_wulfrik_hq3_wb_sword_and_shield	wh_main_infantry_wulfrik_mammoth_hero_blood	41	34	75	14453	hkrul_olaf_mammoth	1	wh_dlc08_nor_mammoth_tusks		1	none	hkrul_olaf	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_olaf_mammoth	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	melee_cav_shock_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_orgrim	10	wh2_main_body_75	2100	inf_melee	50	com	hkrul_orgrim	hu18c_phy_orgrim	hkrul_orgrim	55	41	75	5756		0	hkrul_orgrim		1	none	hkrul_orgrim	wh_dlc03_bst_gorebull	trained			true	40.0000	1500.0000	wh_dlc08_nor_cha_skin_wolf_werekin_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	20	0	0	melee_highvalue	false	true	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
