key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/rhox_adella																																																						
r1kko_adella_kho_bastiladon	0	wh2_main_body_140	2100	inf_melee	45	inf_mel	wh2_main_unit_long_text_lzd_mon_bastiladon_0	hq1_bastiladon	r1kko_adella_kho_bastiladon	28	31	60	8000		0	wh2_main_lzd_bastiladon		1	none	r1kko_adella_kho_bastiladon	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_bastiladon_khorne	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_monsters		
r1kko_adella_nur_bastiladon	0	wh2_main_heavy_metal_160	2100	inf_melee	10	inf_mel	wh2_main_unit_long_text_lzd_mon_bastiladon_0	hq1_bastiladon	r1kko_adella_nur_bastiladon	15	40	65	8251		0	wh2_main_lzd_bastiladon		1	none	r1kko_adella_nur_bastiladon	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_bastiladon_nurgle	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_monsters		
r1kko_adella_sla_bastiladon	0	wh2_main_body_100	2100	inf_melee	40	inf_mel	wh2_main_unit_long_text_lzd_mon_bastiladon_0	hq1_bastiladon	r1kko_adella_sla_bastiladon	40	20	55	6853		0	wh2_main_lzd_bastiladon		1	none	r1kko_adella_sla_bastiladon	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_bastiladon_slaanesh	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_monsters		
r1kko_adella_tze_bastiladon	0	wh2_main_body_140	2100	inf_melee	30	inf_mel	wh2_main_unit_long_text_lzd_mon_bastiladon_0	hq1_bastiladon	r1kko_adella_tze_bastiladon	24	28	60	7690		0	wh2_main_lzd_bastiladon		1	none	r1kko_adella_tze_bastiladon	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_bastiladon_tzeentch	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	25	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_monsters		
r1kko_adella_kho_carnosaur	0	wh2_main_body_95	2100	inf_melee	60	inf_mel	wh2_main_unit_long_text_lzd_mon_carnosaur_0	rp3b_carnosaur	r1kko_adella_kho_carnosaur	55	45	60	8012		0	wh2_main_lzd_feral_carnosaur		1	none	r1kko_adella_kho_carnosaur	wh_main_monster	trained			true	40.0000	1500.0000	r1kko_adella_kho_carnosaur	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_monsters		
r1kko_adella_nur_stegadon	0	wh2_main_body_140	2100	inf_melee	50	inf_mel	wh2_main_unit_long_text_lzd_mon_stegadon_0	hq1_feral_stegadon	r1kko_adella_nur_stegadon	21	55	65	10853		0	wh2_main_lzd_stegadon		1	none	r1kko_adella_nur_stegadon	wh_main_monster	trained			true	40.0000	1500.0000	r1kko_adella_nur_stegadon	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_monsters		
r1kko_adella_sla_troglodon	10	wh2_main_body_95	2100	inf_melee	50	inf_mel	wh2_dlc17_unit_long_text_lzd_mon_troglodon	rp3b_dlc17_troglodon	r1kko_adella_sla_troglodon	51	35	60	6674		0	wh2_dlc17_lzd_feral_troglodon	wh2_dlc17_lzd_troglodon_spit	1	none	r1kko_adella_sla_troglodon	wh_main_monster	trained			true	40.0000	1500.0000	r1kko_adella_sla_troglodon	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	aquatic_large	0	20	0	0	0	0	15	0	hybrid_highvalue	false	false	false	false	high	high	domination_monsters		
r1kko_adella_tze_coatl	10	wh2_main_body_70	2100	inf_melee	40	inf_mel	wh2_dlc17_unit_long_text_lzd_mon_coatl	bi4_dlc17_coatl	r1kko_adella_tze_coatl	44	51	80	7612		0	wh2_dlc17_lzd_coatl		1	none	r1kko_adella_tze_coatl	wh_main_monster	trained			true	40.0000	1500.0000	r1kko_adella_tze_coatl	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	25	0	0	25	0	flying_melee_mage_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture		
rhox_skeggi_dodvakt	10	wh2_main_body_90	2100	cavalry	35	cav_mel	wh2_main_unit_long_text_lzd_cav_cold_ones_1	hu1c_chaos_hr1_warhorse_axe_and_shield	wh_main_cavalry_rider_standard_blood	40	32	75	119	wh2_main_lzd_mnt_cold_one	48	wh2_main_lzd_cold_one_club		3	wh_missile_block_30_wood	rhox_skeggi_dodvakt	wh2_main_cavalry_cold_ones	trained			true	40.0000	1500.0000	wh2_main_lzd_cav_cold_ones_1	160	160	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_cav		
