key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/scm_norsca_characters																																																						
hkrul_adella	10	wh2_main_chainmail_50	2100	inf_ranged	30	com	hkrul_adella	adella	wh_main_infantry_standard_wizard_blood_dismembers	48	35	70	3956		0	hkrul_adella		1	none	hkrul_adella	wh_main_hero	trained			true	40.0000	1500.0000	wh_dlc08_nor_cha_shaman_sorcerer_metal_0	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	high	high	domination_characters		
hkrul_adella_horse	10	wh2_main_plate_110	2100	cavalry	65	com	hkrul_adella	hu1b_bretonnian_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_hero_blood_dismembers	57	47	70	4767	rhox_adella_mnt_adella_horse	1	hkrul_adella		1	wh_missile_block_35_metal	hkrul_adella	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	wh_main_emp_cha_general_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters		
hkrul_adella_chariot	10	wh2_main_plate_110	2100	war_machine	64	com	hkrul_adella	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	wh_main_infantry_standard_hero_blood_dismembers	24	18	75	4440	rhox_adella_mnt_adella_horse	2	hkrul_adella		1	none	hkrul_adella	wh_main_chariot	trained	wh_main_chs_chariot_horse	wh_main_chs_chariot_large_draught	true	40.0000	1500.0000	wh2_dlc15_hef_cha_archmage_fire_2	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	1	0	15	0	mage_highvalue	false	false	false	false	default	default	domination_characters		
hkrul_adella_stegadon	10	wh2_main_body_130	2100	war_beast	70	com	hkrul_adella	hu1c_norsca_wb_mammoth_javelin	wh_main_infantry_standard_hero_blood_dismembers	26	32	75	9848	wh2_main_lzd_mnt_stegadon_ancient	1	wh2_main_lzd_ancient_stegadon		1	none	hkrul_adella	wh_main_monster	trained			true	40.0000	1500.0000	wh2_dlc12_lzd_cha_skink_chief_red_crested_3	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	200	0	0	0	0	15	0	melee_gatecrusher_highvalue	false	false	false	false	high	high	domination_characters		
hkrul_soren	10	wh2_main_leather_40	2100	inf_ranged	10	com	hkrul_soren	soren	hkrul_soren	34	44	65	4214		0	hkrul_soren		1	none	hkrul_soren	wh_main_hero	trained			true	40.0000	1500.0000	wh_dlc08_nor_cha_shaman_sorcerer_death_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	high	high	domination_characters		
hkrul_akkorak	10	wh2_main_plate_50	2100	inf_melee	55	com	hkrul_akkorak	hu1c_chaos_axe_and_shield	hkrul_akkorak	60	40	70	4260		0	wh_dlc08_nor_axe_lord		1	none	hkrul_akkorak	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_akkorak	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
hkrul_birna	10	wh2_main_leather_30	2100	inf_ranged	30	inf_mel	hkrul_birna	birna	hkrul_birna	45	41	70	4035		0	hkrul_birna	hkrul_birna	1	none	hkrul_birna	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_birna	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	small	0	20	0	0	0	0	15	0	hybrid_highvalue	false	true	false	false	high	high	domination_characters		
hkrul_drenok	10	wh2_main_plate_50	2100	inf_melee	55	com	hkrul_drenok	drenok_axe	hkrul_drenok	60	40	70	4260		0	wh_dlc08_nor_axe_lord		1	none	hkrul_drenok	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_drenok	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
hkrul_drenok_chariot	10	wh2_main_heavy_metal_100	2100	war_machine	90	com	hkrul_drenok	hu1c_chaos_wm_chariot_halberd	hkrul_drenok	48	30	75	5776	wh_main_chs_mnt_norscan_warhorse_chariots	2	wh_dlc08_nor_axe_lord		1	wh_missile_block_35_metal	hkrul_drenok	wh_main_chariot	trained	wh_main_chs_chariot_horse	wh_main_chs_chariot_large_draught	true	40.0000	1500.0000	wh_dlc08_nor_cha_wulfrik_2	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	1	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters		
