key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo
#land_units_tables;53;db/land_units_tables/scm_norsca_elite																																																										
rhox_graeling_champion	0	wh2_main_plate_80	2100	inf_melee	20	inf_mel	wh_dlc08_unit_long_text_nor_marauder_champions	hu1c_chaos_axe_and_shield	wh_dlc08_infantry_champion_large_blood_dismembers	40	58	75	100		0	wh_dlc08_nor_axe_champion		5	wh_missile_block_35_wood	wh_dlc08_unit_short_text_nor_marauder_champions	wh_main_infantry_chaos_warriors	trained			true	40.0000	1500.0000	wh_dlc08_nor_inf_marauder_champions_0	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
rhox_baersonling_champion	0	wh2_main_plate_80	2100	inf_melee	30	inf_mel	wh_dlc08_unit_long_text_nor_marauder_champions	hu1c_chaos_2handed_axe	wh_dlc08_infantry_champion_large_blood_dismembers	42	43	75	100		0	wh_dlc08_nor_axe_great_champion		5	none	wh_dlc08_unit_short_text_nor_marauder_champions_great	wh_main_infantry_chaos_warriors	trained			true	40.0000	1500.0000	wh_dlc08_nor_inf_marauder_champions_1	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
rhox_kurgan_champion	0	wh2_main_plate_80	2100	inf_melee	20	inf_mel	wh_dlc08_unit_long_text_nor_marauder_champions	hu1c_chaos_axe_and_shield	wh_dlc08_infantry_champion_large_blood_dismembers	38	60	75	100		0	wh_dlc08_nor_axe_champion		5	wh_missile_block_35_wood	wh_dlc08_unit_short_text_nor_marauder_champions	wh_main_infantry_chaos_warriors	trained			true	40.0000	1500.0000	wh_dlc08_nor_inf_marauder_champions_0	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
rhox_kurgan_spearman	10	wh2_main_leather_15	2100	inf_melee	6	inf_mel	wh3_dlc20_unit_long_text_chs_marauders_all_und	hu1c_norsca_2handed_spear	wh_main_chs_infantry_fast_blood_dismembers	30	42	60	85		0	wh_dlc08_nor_spear		6	none	wh_dlc08_unit_short_text_nor_marauders_spear	wh_main_infantry_2handed	trained			true	40.0000	1500.0000	wh_dlc08_nor_inf_marauder_spearman_0	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
rhox_kurgan_javelin	10	wh2_main_leather_15	2100	inf_ranged	8	inf_mis	wh_dlc08_unit_long_text_nor_marauder_hunters	hu1c_norsca_javelin	wh_main_chs_infantry_fast_blood_dismembers	26	25	50	59		0	wh_main_chs_axe_marauders	wh_dlc08_nor_javelin_heavy	3	none	wh_dlc08_unit_short_text_nor_marauder_hunters_1	wh_main_grn_orc_infantry_savage_rabble	trained			true	40.0000	1500.0000	wh_dlc08_nor_inf_marauder_hunters_1	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	20	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
rhox_aesling_berserker	10	wh2_main_leather_15	2100	inf_melee	35	inf_mel	wh_dlc08_unit_long_text_nor_marauder_berserkers	hu1c_norsca_dual_axe	wh_dlc08_nor_inf_berserkers_blood_dismembers	48	24	80	124		0	wh_dlc08_nor_berserker_dual_axes		5	none	wh_dlc08_unit_short_text_nor_marauder_berserkers	wh_dlc08_nor_infantry_berserkers	trained			true	40.0000	1500.0000	wh_dlc08_nor_inf_marauder_berserkers_0	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
rhox_skeggi_champion	0	wh2_main_plate_80	2100	inf_melee	20	inf_mel	wh_dlc08_unit_long_text_nor_marauder_champions	hu1c_chaos_axe_and_shield	wh_dlc08_infantry_champion_large_blood_dismembers	35	50	75	150		0	wh_dlc08_nor_axe_champion		5	wh_missile_block_35_wood	wh_dlc08_unit_short_text_nor_marauder_champions	wh_main_infantry_chaos_warriors	trained			true	40.0000	1500.0000	wh_dlc08_nor_inf_marauder_champions_0	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
rhox_yusak_devoted_marauders	10	wh2_main_body_15	2100	inf_melee	6	inf_mel	wh3_dlc20_unit_long_text_chs_marauders_msla	hu1_wh3_slaanesh_spear_arm_and_shield	wh3_main_sla_marauders_blood_dismembers	34	32	60	70		0	wh3_main_sla_marauders_spear_claw		6	wh_missile_block_35_metal	wh3_main_unit_short_text_sla_inf_marauders_1	wh3_main_infantry_sla_marauders_spears	trained			true	40.0000	1500.0000	wh3_main_sla_inf_marauders_1	60	80	0	vo_sel_marauders	vo_sel_spearmen	vo_sel_dlc20_chaos_faction_leader	1.0000	small	0	0	0	0	0	5	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
rhox_drenok_marauder	10	wh2_main_body_15	2100	inf_melee	18	inf_mel	wh3_dlc20_unit_long_text_chs_marauders_all_und	hu1c_chaos_axe_and_shield	wh_main_chs_infantry_fast_blood_dismembers	34	34	60	70		0	rhox_drenok_marauder		6	wh_missile_block_35_wood	wh_main_unit_short_text_chs_chaos_marauders	wh_main_infantry_chaos_warriors	trained			true	40.0000	1500.0000	wh_main_nor_inf_chaos_marauders_0	60	80	0	vo_sel_marauders	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
