key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/hkrul_late_summer																																																											
hkrul_grydal	10	wh2_main_plate_60	2100	inf_melee	55	com	hkrul_grydal	hu13_wh3_ogre_firebelly	wh_main_infantry_standard_hero_blood	62	43	70	4663		0	hkrul_grydal		1	none	hkrul_grydal	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_grydal	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	35	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_goftur	10	wh2_main_plate_75	2100	inf_melee	55	com	hkrul_goftur	hu1c_wh3_kislev_dual_axe	wh_main_infantry_standard_hero_blood	57	42	70	4222		0	hkrul_goftur		1	none	hkrul_goftur	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_goftur	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_shark_1	10	wh2_main_body_45	2100	inf_melee	41	inf_mel	hkrul_shark_1	shark1	hkrul_shark_1	55	40	80	3431		0	hkrul_shark_1		1	none	hkrul_shark_1	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_shark_1	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_generic	1.0000	aquatic_large	0	0	0	0	0	0	15	0	melee_flanker	false	true	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
hkrul_mermedus	10	wh2_main_heavy_metal_85	2100	inf_melee	45	com	hkrul_mermedus	shark2	hkrul_mermedus	44	42	80	7023		0	hkrul_mermedus	hkrul_mermedus	1	none	hkrul_mermedus	wh_dlc03_bst_gorebull	trained			true	40.0000	1500.0000	hkrul_mermedus	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_large	0	20	0	0	0	0	15	0	melee_highvalue	true	true	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
hkrul_urf	10	wh2_main_leather_65	2100	inf_melee	52	com	hkrul_urf	hu10e_phy_grydal_daemon	wh3_main_dae_cha_daemon_prince_generic	78	55	80	10000		0	hkrul_urf		1	none	hkrul_urf	wh_main_hero	trained			true	40.0000	1500.0000	wh3_dlc20_chs_cha_daemon_prince	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	35	0	30	15	0	flying_melee_highvalue	false	true	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
hkrul_shark_2	10	wh2_main_body_80	2100	inf_melee	30	inf_mel	hkrul_shark_2	shark1	hkrul_shark_2	36	55	80	4742		0	hkrul_shark_2		1	none	hkrul_shark_2	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_shark_1	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_generic	1.0000	aquatic_large	0	0	0	0	0	0	15	0	melee_flanker	false	true	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
hkrul_shark_3	10	wh2_main_body_60	2100	inf_melee	55	inf_mel	hkrul_shark_3	shark1	hkrul_shark_3	51	51	80	4661		0	hkrul_shark_3		1	none	hkrul_shark_3	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_shark_3	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_generic	1.0000	aquatic_large	0	0	0	0	0	0	15	0	melee_flanker	false	true	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
hkrul_grydal_warshrine	10	wh2_main_body_70	2100	war_beast	25	com	hkrul_grydal	hu1c_dlc20_wsh1_warshrine_chaos_sorceror_staff_sword	wh_main_infantry_standard_hero_blood	44	41	75	11234	wh3_dlc20_chs_mnt_warshrine_mkho	1	hkrul_grydal_warshrine		1	none	hkrul_grydal	wh_main_monster	trained			true	40.0000	1500.0000	hkrul_grydal_warshrine	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	small	0	0	0	35	0	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hkrul_haraldur	10	wh2_main_heavy_metal_65	2100	inf_melee	40	com	hkrul_haraldur	haraldur	wh_main_infantry_standard_hero_blood	45	56	75	4431		0	hkrul_haraldur		1	wh_missile_block_55_wood	hkrul_haraldur	wh_main_hero	trained			true	40.0000	1500.0000	hkrul_haraldur	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_anti_large	true	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
