recharge_context	special_ability
#special_ability_to_recharge_contexts_tables;0;db/special_ability_to_recharge_contexts_tables/scm_norsca	
mana_below_50%	hkrul_adella_sword
morale_is_higher_than_wavering	hkrul_akkorak_spear
morale_is_higher_than_wavering	hkrul_birna_sword
morale_is_higher_than_wavering	hkrul_drenok_axe
no_friendly_spells_active	hkrul_einar_sword
engaged_in_melee	hkrul_hakka_axe
health_below_75%	hkrul_harald_sword
morale_is_higher_than_wavering	hkrul_sayl_mist
morale_is_higher_than_wavering	hkrul_ulfric_axe
