agent_subtype	clan_name	forename	other_name	surname	agent_type	spawn_behaviour	spawn_via_ui
#unique_agents_tables;3;db/unique_agents_tables/hkrul_nor_surp							
hkrul_olg	2147358913	1610711831	2147358913	1610711830	champion	FACTION_LEADER	false
hkrul_tuula	2147358913	4610711834	2147358913	4610711833	champion	FACTION_LEADER	false
hkrul_haftagg	2147358913	2610711831	2147358913	2610711830	champion	FACTION_LEADER	false
hkrul_olaf	2147358913	3610711834	2147358913	3610711833	general	FACTION_LEADER	false
hkrul_orgrim	2147358913	2610712831	2147358913	2610712830	champion	FACTION_LEADER	false
hkrul_berus	2147358913	2610712838	2147358913	2610712837	champion	FACTION_LEADER	false
hkrul_usta	2147358913	2610712841	2147358913	2610712840	wizard	FACTION_LEADER	false
hkrul_kammler	2147358913	2610712844	2147358913	2610712843	wizard	FACTION_LEADER	false
hkrul_eyri	2147358913	2610712844	2147358913	2610712843	general	FACTION_LEADER	false
