quote	unit
#loading_screen_quotes_to_units_tables;0;db/loading_screen_quotes_to_units_tables/scm_norsca	
hkrul_beorg	hkrul_beorg
hkrul_adella	hkrul_adella
hkrul_soren	hkrul_soren
hkrul_adella	hkrul_adella_horse
hkrul_adella	hkrul_adella_chariot
hkrul_adella	hkrul_adella_stegadon
hkrul_birna	hkrul_birna
hkrul_ulfric	hkrul_ulfric_chariot
hkrul_ulfric	hkrul_ulfric
hkrul_ulfric	hkrul_ulfric_horse
hkrul_ulfric	hkrul_ulfric_mammoth
hkrul_geimdall	hkrul_geimdall
hkrul_oda	hkrul_oda
hkrul_oda	hkrul_oda_manticore
hkrul_oda	hkrul_oda_horse
hkrul_hakka	hkrul_hakka
hkrul_hakka	hkrul_hakka_chariot
hkrul_hakka	hkrul_hakka_juggernaut
hkrul_sayl	hkrul_sayl
hkrul_sayl	hkrul_sayl_chariot
hkrul_sayl	hkrul_sayl_mammoth
hkrul_surtha	hkrul_surtha_ek
hkrul_surtha	hkrul_surtha_ek_chariot
hkrul_ulsdau	scm_norsca_ulsdau
hkrul_akkorak	hkrul_akkorak
hkrul_drenok	hkrul_drenok
hkrul_drenok	hkrul_drenok_bear
hkrul_drenok	hkrul_drenok_chariot
hkrul_einar	hkrul_einar
hkrul_einar	hkrul_einar_bear
hkrul_harald	hkrul_harald
hkrul_swyrd	hkrul_swyrd
hkrul_rafn	hkrul_rafn
hkrul_uzul	hkrul_uzul
hkrul_sarg	hkrul_sarg
hkrul_sarg	hkrul_sarg_chariot
hkrul_sarg	hkrul_sarg_exalted_seeker_chariot
hkrul_sarg	hkrul_sarg_horse
hkrul_asta	scm_norsca_asta
hkrul_asta	scm_norsca_asta_02
hkrul_graill	hkrul_graill
hkrul_hildr	hkrul_hildr
hkrul_huern	scm_norsca_huern
hkrul_yngve	hkrul_yngve
