id	settlement_option	captive_option_outcome	settlement_type	acting_army_faction_effect_bundle	acting_army_faction_effect_bundle_turns	target_settlement_faction_effect_bundle	target_settlement_faction_effect_bundle_turns	group	acting_army_effect_bundle	acting_army_effect_bundle_turns	tooltip	icon	base_loot	building_loot_mod	resource_transaction	uses_small_ui_template	sort_order_override	disable_gaining_action_points_for_a_turn	required_resources	resource_loot_multiplier	required_tag	required_diplomatic_stance	audio_override	allowed_building_chains	capturing_force_resource_transaction	capturing_force_resource_loot_multiplier	captured_region_resource_transaction	captured_region_resource_loot_multiplier	captured_region_resource_building_level_multiplier	allowed_regions_groups
#culture_settlement_occupation_options_tables;7;db/culture_settlement_occupation_options_tables/rhox_fc_norsca																														
957887881	occupation_decision_colonise	none			0		0	rhox_aesling_colonise_group	wh3_main_bundle_vulnerable_colonize	1		occupy_khorne	0.0000	1.0000	rhox_aesling_resource_cost_kho_occupy_settlement	true	-1	true	rhox_aesling_resource_cost_kho_occupy_settlement	0.0000						0.0000		0.0000	-1.0000	
957887884	occupation_decision_occupy	kill	wh3_dlc27_norsca_altars_tze		0		0	rhox_totn_tzeentch_occupation_group		0	Raise Altar – Eagle||Pillage and raze this region while erecting an Altar to the Great Eagle.\n\nAttaining allegiance to this God will reward you with powerful benefits, potentially allowing access to a mighty Lord of Change, [[img:icon_god_eagle]][[/img]][[col:yellow]]Azrik the Maze Keeper[[/col]], who can be recruited to fight for your faction.\n\n{{tr:ui_text_replacements_localised_text_wh3_dlc27_nor_allegiance_altar_landmark_limitation}}	wh_dlc08_nor_norsca_raze_eagle	0.0000	0.2000	wh3_dlc27_resource_cost_nor_raze_settlement_spoils_instant	true	-5	true		0.2000			nor_allegiance_eagle			0.0000		0.0000	-1.0000	
957887885	occupation_decision_occupy	kill	wh3_dlc27_norsca_altars_sla		0		0	rhox_totn_slaanesh_occupation_group		0	Raise Altar – Serpent||Pillage and raze this region while erecting an Altar to the Great Serpent.\n\nAttaining allegiance to this God will reward you with powerful benefits, potentially allowing access to a specialist Chaos Sorcerer, [[img:icon_god_snake]][[/img]][[col:yellow]]Kihar the Tormentor,[[/col]] who can be recruited to fight for your faction.\n\n{{tr:ui_text_replacements_localised_text_wh3_dlc27_nor_allegiance_altar_landmark_limitation}}	wh_dlc08_nor_norsca_raze_serpent	0.0000	0.2000	wh3_dlc27_resource_cost_nor_raze_settlement_spoils_instant	true	-3	true		0.2000			nor_allegiance_serpent			0.0000		0.0000	-1.0000	
957887886	occupation_decision_occupy	kill	wh3_dlc27_norsca_altars_kho		0		0	rhox_totn_khorne_occupation_group		0	Raise Altar – Hound||Pillage and raze this region while erecting an Altar to the Great Hound.\n\nAttaining allegiance to this God will reward you with powerful benefits, potentially allowing access to a powerful Exalted Champion of Khorne, [[img:icon_god_hound]][[/img]][[col:yellow]]Killgore Slaymaim[[/col]], who can be recruited to fight for your faction.\n\n{{tr:ui_text_replacements_localised_text_wh3_dlc27_nor_allegiance_altar_landmark_limitation}}	wh_dlc08_nor_norsca_raze_hound	0.0000	0.2000	wh3_dlc27_resource_cost_nor_raze_settlement_spoils_instant	true	-4	true		0.2000			nor_allegiance_hound			0.0000		0.0000	-1.0000	
957887887	occupation_decision_occupy	kill	wh3_dlc27_norsca_core_settlement		0		0	rhox_totn_tzeentch_occupation_group		0	Colonise||Settle your troops.	wh3_dlc27_nor_norsca_occupy_spoils	0.0000	1.0000	wh3_dlc27_nor_spoils_occupy_settlement	false	-2	true	wh3_dlc27_nor_spoils_occupy_settlement	0.0000						0.0000		0.0000	-1.0000	wh3_dlc27_outside_norsca_regions
957887888	occupation_decision_occupy	kill	wh3_dlc27_norsca_core_settlement		0		0	rhox_totn_tzeentch_occupation_group		0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0.0000	1.0000		false	-2	true		0.0000						0.0000		0.0000	-1.0000	wh3_dlc27_norsca_regions
957887889	occupation_decision_occupy	kill	wh3_dlc27_norsca_core_settlement		0		0	rhox_totn_slaanesh_occupation_group		0	Colonise||Settle your troops.	wh3_dlc27_nor_norsca_occupy_spoils	0.0000	1.0000	wh3_dlc27_nor_spoils_occupy_settlement	false	-2	true	wh3_dlc27_nor_spoils_occupy_settlement	0.0000						0.0000		0.0000	-1.0000	wh3_dlc27_outside_norsca_regions
957887890	occupation_decision_occupy	kill	wh3_dlc27_norsca_core_settlement		0		0	rhox_totn_slaanesh_occupation_group		0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0.0000	1.0000		false	-2	true		0.0000						0.0000		0.0000	-1.0000	wh3_dlc27_norsca_regions
957887891	occupation_decision_occupy	kill	wh3_dlc27_norsca_core_settlement		0		0	rhox_totn_khorne_occupation_group		0	Colonise||Settle your troops.	wh3_dlc27_nor_norsca_occupy_spoils	0.0000	1.0000	wh3_dlc27_nor_spoils_occupy_settlement	false	-2	true	wh3_dlc27_nor_spoils_occupy_settlement	0.0000						0.0000		0.0000	-1.0000	wh3_dlc27_outside_norsca_regions
957887892	occupation_decision_occupy	kill	wh3_dlc27_norsca_core_settlement		0		0	rhox_totn_khorne_occupation_group		0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0.0000	1.0000		false	-2	true		0.0000						0.0000		0.0000	-1.0000	wh3_dlc27_norsca_regions
957887893	occupation_decision_occupy	kill	wh3_dlc27_norsca_core_settlement		0		0	rhox_totn_neutral_occupation_group		0	Colonise||Settle your troops.	wh3_dlc27_nor_norsca_occupy_spoils	0.0000	1.0000	wh3_dlc27_nor_spoils_occupy_settlement	false	-2	true	wh3_dlc27_nor_spoils_occupy_settlement	0.0000						0.0000		0.0000	-1.0000	wh3_dlc27_outside_norsca_regions
957887894	occupation_decision_occupy	kill	wh3_dlc27_norsca_core_settlement		0		0	rhox_totn_neutral_occupation_group		0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0.0000	1.0000		false	-2	true		0.0000						0.0000		0.0000	-1.0000	wh3_dlc27_norsca_regions
