unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/rhox_fc_norsca		
wh3_dlc20_chs_cav_chaos_knights_mkho	rhox_akkorak_purchasable_speed	true
wh3_dlc20_chs_cav_chaos_knights_mkho_lances	rhox_akkorak_purchasable_speed	true
wh3_main_tze_cav_chaos_knights_0	rhox_akkorak_purchasable_speed	true
wh3_dlc20_chs_cav_chaos_knights_mtze_lances	rhox_akkorak_purchasable_speed	true
wh3_dlc20_chs_cav_chaos_knights_mnur	rhox_akkorak_purchasable_speed	true
wh3_dlc20_chs_cav_chaos_knights_mnur_lances	rhox_akkorak_purchasable_speed	true
wh3_dlc20_chs_cav_chaos_knights_msla	rhox_akkorak_purchasable_speed	true
wh3_dlc20_chs_cav_chaos_knights_msla_lances	rhox_akkorak_purchasable_speed	true
wh_main_chs_cav_chaos_knights_0	rhox_akkorak_purchasable_speed	true
wh_main_chs_cav_chaos_knights_1	rhox_akkorak_purchasable_speed	true
wh3_dlc20_chs_cav_chaos_knights_mkho	rhox_akkorak_purchasable_missile_resistance	true
wh3_dlc20_chs_cav_chaos_knights_mkho_lances	rhox_akkorak_purchasable_missile_resistance	true
wh3_main_tze_cav_chaos_knights_0	rhox_akkorak_purchasable_missile_resistance	true
wh3_dlc20_chs_cav_chaos_knights_mtze_lances	rhox_akkorak_purchasable_missile_resistance	true
wh3_dlc20_chs_cav_chaos_knights_mnur	rhox_akkorak_purchasable_missile_resistance	true
wh3_dlc20_chs_cav_chaos_knights_mnur_lances	rhox_akkorak_purchasable_missile_resistance	true
wh3_dlc20_chs_cav_chaos_knights_msla	rhox_akkorak_purchasable_missile_resistance	true
wh3_dlc20_chs_cav_chaos_knights_msla_lances	rhox_akkorak_purchasable_missile_resistance	true
wh_main_chs_cav_chaos_knights_0	rhox_akkorak_purchasable_missile_resistance	true
wh_main_chs_cav_chaos_knights_1	rhox_akkorak_purchasable_missile_resistance	true
wh3_dlc20_chs_cav_chaos_knights_mkho	rhox_akkorak_purchasable_melee_attack	true
wh3_dlc20_chs_cav_chaos_knights_mkho_lances	rhox_akkorak_purchasable_melee_attack	true
wh3_main_tze_cav_chaos_knights_0	rhox_akkorak_purchasable_melee_attack	true
wh3_dlc20_chs_cav_chaos_knights_mtze_lances	rhox_akkorak_purchasable_melee_attack	true
wh3_dlc20_chs_cav_chaos_knights_mnur	rhox_akkorak_purchasable_melee_attack	true
wh3_dlc20_chs_cav_chaos_knights_mnur_lances	rhox_akkorak_purchasable_melee_attack	true
wh3_dlc20_chs_cav_chaos_knights_msla	rhox_akkorak_purchasable_melee_attack	true
wh3_dlc20_chs_cav_chaos_knights_msla_lances	rhox_akkorak_purchasable_melee_attack	true
wh_main_chs_cav_chaos_knights_0	rhox_akkorak_purchasable_melee_attack	true
wh_main_chs_cav_chaos_knights_1	rhox_akkorak_purchasable_melee_attack	true
